GUID 864e842975344cb3a2d563c53d7bd321
Type Melee
Rarity Epic
Useable Melee
Slot Primary
ID 32588

Size_X 5
Size_Y 3
Size_Z 0.55
Size2_Z 0.6

Range 3
Strength 10
Weak 0.166
Strong 0.5
Stamina 100

Player_Damage 6
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 15
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 6
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.3
Animal_Skull_Multiplier 1.1

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 1
Resource_Damage 1
Object_Damage 1

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 9
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 32588
Blueprint_1_Product 67
Blueprint_1_Products 7
Blueprint_1_Build 27

Asset_Bundle_Version 2
