GUID d600dc86494d4377aa9a4486b457e51c
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 55020

Size_X 5
Size_Y 2
Size_Z 0.3
Size2_Z 0.55

Sight 55021
Magazine 55022

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 30
Ammo_Max 150

Safety
Auto

Caliber 55020

Range 275
Firerate 4
Replace 0.8
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 32
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 30
Resource_Damage 30
Object_Damage 25

Invulnerable

Durability 0.3

Spread_Aim 0.2
Spread_Hip 0.15

Recoil_Min_X 1
Recoil_Min_Y 2
Recoil_Max_X 2.2
Recoil_Max_Y 3.5

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.004
Shake_Min_Y 0.004
Shake_Min_Z -0.01
Shake_Max_X 0.004
Shake_Max_Y -0.004
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 55020
Blueprint_1_Product 67
Blueprint_1_Products 5
Blueprint_1_Build 27

Exclude_From_Master_Bundle
