GUID bf25443c83ff4074ae0bbcf43024ec31
Type Dialogue
ID 5291

Messages 1
Message_0_Pages 1

Responses 5

// Shop
Response_0_Vendor 5292
Response_0_Conditions 1
Response_0_Condition_0_Type Reputation
Response_0_Condition_0_Value -24
Response_0_Condition_0_Logic Greater_Than_Or_Equal_To

Response_1_Conditions 2
Response_1_Condition_0_Type Reputation
Response_1_Condition_0_Value -24
Response_1_Condition_0_Logic Greater_Than_Or_Equal_To
Response_1_Condition_1_Type Item
Response_1_Condition_1_ID 42411
Response_1_Condition_1_Amount 1
Response_1_Condition_1_Reset
Response_1_Rewards 1
Response_1_Reward_0_Type Item
Response_1_Reward_0_ID 42412
Response_1_Reward_0_Amount 1
Response_1_Dialogue 5291

Response_2_Conditions 2
Response_2_Conditions 1
Response_2_Condition_0_Type Reputation
Response_2_Condition_0_Value -24
Response_2_Condition_0_Logic Greater_Than_Or_Equal_To
Response_2_Condition_1_Type Item
Response_2_Condition_1_ID 42415
Response_2_Condition_1_Amount 1
Response_2_Condition_1_Reset
Response_2_Rewards 1
Response_2_Reward_0_Type Item
Response_2_Reward_0_ID 42416
Response_2_Reward_0_Amount 1
Response_2_Dialogue 5291

// Criminal
Response_3_Dialogue 5799
Response_3_Conditions 1
Response_3_Condition_0_Type Reputation
Response_3_Condition_0_Value -25
Response_3_Condition_0_Logic Less_Than_Or_Equal_To

