GUID c5e6895dff09441c878c3e5415754f2f
Type Dialogue
ID 5061

Messages 1
Message_0_Pages 1

Responses 7

// Quad / Dirtbike
Response_0_Vendor 5062
Response_0_Conditions 2
Response_0_Condition_0_Type Item
Response_0_Condition_0_ID 17102
Response_0_Condition_0_Amount 1
Response_0_Condition_1_Type Reputation
Response_0_Condition_1_Value -24
Response_0_Condition_1_Logic Greater_Than_Or_Equal_To

// Autos
Response_1_Vendor 5063
Response_1_Conditions 2
Response_1_Condition_0_Type Item
Response_1_Condition_0_ID 17102
Response_1_Condition_0_Amount 1
Response_1_Condition_1_Type Reputation
Response_1_Condition_1_Value -24
Response_1_Condition_1_Logic Greater_Than_Or_Equal_To

// Sport
Response_2_Vendor 5064
Response_2_Conditions 2
Response_2_Condition_0_Type Item
Response_2_Condition_0_ID 17102
Response_2_Condition_0_Amount 1
Response_2_Condition_1_Type Reputation
Response_2_Condition_1_Value -24
Response_2_Condition_1_Logic Greater_Than_Or_Equal_To

// Arbeitsfahrzeuge
Response_3_Vendor 5065
Response_3_Conditions 2
Response_3_Condition_0_Type Item
Response_3_Condition_0_ID 17102
Response_3_Condition_0_Amount 1
Response_3_Condition_1_Type Reputation
Response_3_Condition_1_Value -24
Response_3_Condition_1_Logic Greater_Than_Or_Equal_To

// Lizenz
Response_4_Vendor 5066
Response_4_Conditions 1
Response_4_Condition_0_Type Reputation
Response_4_Condition_0_Value -24
Response_4_Condition_0_Logic Greater_Than_Or_Equal_To

// Criminal
Response_5_Dialogue 5799
Response_5_Conditions 1
Response_5_Condition_0_Type Reputation
Response_5_Condition_0_Value -25
Response_5_Condition_0_Logic Less_Than_Or_Equal_To
