GUID edf52fc23ada40b6815fc1c94d2f234f
Type Vendor
ID 5043

Disable_Sorting

Selling 11
Selling_0_Type Vehicle
Selling_0_ID 189
Selling_0_Spawnpoint Airport
Selling_0_Cost 530000
Selling_1_Type Vehicle
Selling_1_ID 43001
Selling_1_Spawnpoint Airport
Selling_1_Cost 250000
Selling_2_Type Vehicle
Selling_2_ID 43000
Selling_2_Spawnpoint Airport
Selling_2_Cost 250000
Selling_3_Type Vehicle
Selling_3_ID 43003
Selling_3_Spawnpoint Airport
Selling_3_Cost 250000
Selling_4_Type Vehicle
Selling_4_ID 810
Selling_4_Spawnpoint Airport
Selling_4_Cost 120000
Selling_5_Type Vehicle
Selling_5_ID 43006
Selling_5_Spawnpoint Airport
Selling_5_Cost 85000
Selling_6_Type Vehicle
Selling_6_ID 43007
Selling_6_Spawnpoint Airport
Selling_6_Cost 85000
Selling_7_Type Vehicle
Selling_7_ID 43005
Selling_7_Spawnpoint Airport
Selling_7_Cost 52000
Selling_8_Type Vehicle
Selling_8_ID 43004
Selling_8_Spawnpoint Airport
Selling_8_Cost 52000
Selling_9_Type Vehicle
Selling_9_ID 96
Selling_9_Spawnpoint Airport
Selling_9_Cost 48000
Selling_10_Type Vehicle
Selling_10_ID 849 
Selling_10_Spawnpoint Airport
Selling_10_Cost 12000
