GUID f11f07745e1e470297d444afcab3ed2a
Type Vendor
ID 5072

Disable_Sorting

Buying 9
Buying_0_ID 37200
Buying_0_Cost 1
Buying_1_ID 37201
Buying_1_Cost 5
Buying_2_ID 37202
Buying_2_Cost 10
Buying_3_ID 37203
Buying_3_Cost 20
Buying_4_ID 37204
Buying_4_Cost 50
Buying_5_ID 37205
Buying_5_Cost 100
Buying_6_ID 37206
Buying_6_Cost 1000
Buying_7_ID 37207
Buying_7_Cost 10000
Buying_8_ID 4900
Buying_8_Cost 100000


Selling 9
Selling_0_ID 37200
Selling_0_Cost 1
Selling_1_ID 37201
Selling_1_Cost 5
Selling_2_ID 37202
Selling_2_Cost 10
Selling_3_ID 37203
Selling_3_Cost 20
Selling_4_ID 37204
Selling_4_Cost 50
Selling_5_ID 37205
Selling_5_Cost 100
Selling_6_ID 37206
Selling_6_Cost 1000
Selling_7_ID 37207
Selling_7_Cost 10000
Selling_8_ID 4900
Selling_8_Cost 100000
