GUID c75fbd49fce14db3b4cd6e5e6df18619
Type Vendor
ID 5032

Disable_Sorting

Buying 11
Buying_0_ID 4746
Buying_0_Cost 805
Buying_1_ID  4755
Buying_1_Cost 731
Buying_2_ID 4758
Buying_2_Cost 704
Buying_3_ID 4757
Buying_3_Cost 660
Buying_4_ID 4756
Buying_4_Cost 883
Buying_5_ID 4741
Buying_5_Cost 644
Buying_6_ID 4740
Buying_6_Cost 593
Buying_7_ID 4734
Buying_7_Cost 298
Buying_8_ID 7490
Buying_8_Cost 531
Buying_9_ID 2013
Buying_9_Cost 287
Buying_10_ID 2010
Buying_10_Cost 86

Selling 59
Selling_0_ID 129
Selling_0_Cost 182000
Selling_1_ID 14916
Selling_1_Cost 176000
Selling_2_ID 130
Selling_2_Cost 1700
Selling_3_ID 14931
Selling_3_Cost 171000
Selling_4_ID 14933
Selling_4_Cost 1900
Selling_5_ID 14941
Selling_5_Cost 167000
Selling_6_ID 14943
Selling_6_Cost 1900
Selling_7_ID 14938
Selling_7_Cost 159000
Selling_8_ID 14940
Selling_8_Cost 2000
Selling_9_ID 14900
Selling_9_Cost 152000
Selling_10_ID 14902
Selling_10_Cost 2000
Selling_11_ID 1362
Selling_11_Cost 148000
Selling_12_ID 122
Selling_12_Cost 95000
Selling_13_ID 123
Selling_13_Cost 2100
Selling_14_ID 3052
Selling_14_Cost 91000
Selling_15_ID 3054
Selling_15_Cost 2000
Selling_16_ID 3512
Selling_16_Cost 87000
Selling_17_ID 3513
Selling_17_Cost 1800
Selling_18_ID 1379
Selling_18_Cost 83000
Selling_19_ID 1381
Selling_19_Cost 2600
Selling_20_ID 1041
Selling_20_Cost 76000
Selling_21_ID 1042
Selling_21_Cost 4900
Selling_22_ID 1369
Selling_22_Cost 71000
Selling_23_ID 1371
Selling_23_Cost 3100
Selling_24_ID 1477
Selling_24_Cost 68000
Selling_25_ID 1479
Selling_25_Cost 1900
Selling_26_ID 14921
Selling_26_Cost 63000
Selling_27_ID 14922
Selling_27_Cost 1700
Selling_28_ID 488
Selling_28_Cost 61000
Selling_29_ID 489
Selling_29_Cost 900
Selling_30_ID 3080
Selling_30_Cost 48000
Selling_31_ID 113
Selling_31_Cost 80
Selling_32_ID 99
Selling_32_Cost 33000
Selling_33_ID 100
Selling_33_Cost 1500
Selling_34_ID 153
Selling_34_Cost 8300
Selling_35_ID 1004
Selling_35_Cost 4500
Selling_36_ID 147
Selling_36_Cost 4300
Selling_37_ID 1190
Selling_37_Cost 2000
Selling_38_ID 150
Selling_38_Cost 2000
Selling_39_ID 144
Selling_39_Cost 6000
Selling_40_ID 7
Selling_40_Cost 6000
Selling_41_ID 7483
Selling_41_Cost 100
Selling_42_ID 7482
Selling_42_Cost 100
Selling_43_ID 1048
Selling_43_Cost 100
Selling_44_ID 3115
Selling_44_Cost 2600
Selling_45_ID 1335
Selling_45_Cost 2700
Selling_46_ID 1010
Selling_46_Cost 2700
Selling_47_ID 17204
Selling_47_Cost 3200
Selling_48_ID 1336
Selling_48_Cost 4100
Selling_49_ID 1013
Selling_49_Cost 4100
Selling_50_ID 1197
Selling_50_Cost 100
Selling_51_ID 1105
Selling_51_Cost 60
Selling_52_ID 1106
Selling_52_Cost 60
Selling_53_ID 1108
Selling_53_Cost 60
Selling_54_ID 1104
Selling_54_Cost 60
Selling_55_ID 4744
Selling_55_Cost 720
Selling_56_ID 4738
Selling_56_Cost 95
Selling_57_Type Vehicle
Selling_57_ID 57
Selling_57_Spawnpoint Black
Selling_57_Cost 380000
Selling_58_Type Vehicle
Selling_58_ID 119
Selling_58_Spawnpoint Black
Selling_58_Cost 370000
