GUID 03a1f588b1894c42a0c3eba19f56839e
Type Vendor
ID 5093

Disable_Sorting

Selling 11
Selling_0_Type Vehicle
Selling_0_ID 712
Selling_0_Spawnpoint Boot
Selling_0_Cost 12000
Selling_1_Type Vehicle
Selling_1_ID 97
Selling_1_Spawnpoint Boot
Selling_1_Cost 9300
Selling_2_Type Vehicle
Selling_2_ID 124
Selling_2_Spawnpoint Boot
Selling_2_Cost 6200
Selling_3_Type Vehicle
Selling_3_ID 98
Selling_3_Spawnpoint Boot
Selling_3_Cost 1200
Selling_4_Type Vehicle
Selling_4_ID 99
Selling_4_Spawnpoint Boot
Selling_4_Cost 1200
Selling_5_Type Vehicle
Selling_5_ID 100
Selling_5_Spawnpoint Boot
Selling_5_Cost 1200
Selling_6_Type Vehicle
Selling_6_ID 101
Selling_6_Spawnpoint Boot
Selling_6_Cost 1200
Selling_7_Type Vehicle
Selling_7_ID 102
Selling_7_Spawnpoint Boot
Selling_7_Cost 1200
Selling_8_Type Vehicle
Selling_8_ID 103
Selling_8_Spawnpoint Boot
Selling_8_Cost 1200
Selling_9_Type Vehicle
Selling_9_ID 104
Selling_9_Spawnpoint Boot
Selling_9_Cost 1200
Selling_10_Type Vehicle
Selling_10_ID 105
Selling_10_Spawnpoint Boot
Selling_10_Cost 1200
