GUID 5c59b1e0e80742078b907fccfb8c87d0
Type Vendor
ID 5122

Selling 66
Selling_0_ID 313
Selling_0_Cost 30
Selling_1_ID 423
Selling_1_Cost 22
Selling_2_ID 244
Selling_2_Cost 23
Selling_3_ID 239
Selling_3_Cost 25
Selling_4_ID 509
Selling_4_Cost 28
Selling_5_ID 434
Selling_5_Cost 40
Selling_6_ID 435
Selling_6_Cost 40
Selling_7_ID 436
Selling_7_Cost 40
Selling_8_ID 437
Selling_8_Cost 40
Selling_9_ID 438
Selling_9_Cost 40
Selling_10_ID 439
Selling_10_Cost 40
Selling_11_ID 440
Selling_11_Cost 40
Selling_12_ID 441
Selling_12_Cost 40
Selling_13_ID 185
Selling_13_Cost 27
Selling_14_ID 186
Selling_14_Cost 27
Selling_15_ID 187
Selling_15_Cost 27
Selling_16_ID 188
Selling_16_Cost 27
Selling_17_ID 189
Selling_17_Cost 27
Selling_18_ID 11
Selling_18_Cost 27
Selling_19_ID 190
Selling_19_Cost 27
Selling_20_ID 191
Selling_20_Cost 27
Selling_21_ID 1017
Selling_21_Cost 571
Selling_22_ID 425
Selling_22_Cost 32
Selling_23_ID 426
Selling_23_Cost 32
Selling_24_ID 427
Selling_24_Cost 32
Selling_25_ID 1426
Selling_25_Cost 32
Selling_26_ID 428
Selling_26_Cost 32
Selling_27_ID 429
Selling_27_Cost 32
Selling_28_ID 430
Selling_28_Cost 32
Selling_29_ID 431
Selling_29_Cost 32
Selling_30_ID 432
Selling_30_Cost 32
Selling_31_ID 240
Selling_31_Cost 59
Selling_32_ID 424
Selling_32_Cost 67
Selling_33_ID 1385
Selling_33_Cost 89
Selling_34_ID 1472
Selling_34_Cost 129
Selling_35_ID 3511
Selling_35_Cost 39
Selling_36_ID 3532
Selling_36_Cost 33
Selling_37_ID 3531
Selling_37_Cost 33
Selling_38_ID 1359
Selling_38_Cost 54
Selling_39_ID 27
Selling_39_Cost 68
Selling_40_ID 192
Selling_40_Cost 25
Selling_41_ID 193
Selling_41_Cost 25
Selling_42_ID 194
Selling_42_Cost 25
Selling_43_ID 195
Selling_43_Cost 25
Selling_44_ID 196
Selling_44_Cost 25
Selling_45_ID 197
Selling_45_Cost 25
Selling_46_ID 198
Selling_46_Cost 25
Selling_47_ID 199
Selling_47_Cost 25
Selling_48_ID 1429
Selling_48_Cost 50
Selling_49_ID 1428
Selling_49_Cost 39
Selling_50_ID 1009
Selling_50_Cost 39
Selling_51_ID 433
Selling_51_Cost 39
Selling_52_ID 1388
Selling_52_Cost 39
Selling_53_ID 1389
Selling_53_Cost 39
Selling_54_ID 17209
Selling_54_Cost 52
Selling_55_ID 17227
Selling_55_Cost 180
Selling_56_ID 17228
Selling_56_Cost 180
Selling_57_ID 17229
Selling_57_Cost 180
Selling_58_ID 17230
Selling_58_Cost 180
Selling_59_ID 17231
Selling_59_Cost 180
Selling_60_ID 17232
Selling_60_Cost 180
Selling_61_ID 17233
Selling_61_Cost 180
Selling_62_ID 17234
Selling_62_Cost 180
Selling_63_ID 17236
Selling_63_Cost 32
Selling_64_ID 17237
Selling_64_Cost 32
Selling_65_ID 17238
Selling_65_Cost 32
Selling_66_ID 430
Selling_66_Cost 
Selling_67_ID 
Selling_67_Cost 
Selling_68_ID 
Selling_68_Cost 
Selling_69_ID 
Selling_69_Cost 
Selling_70_ID 
Selling_70_Cost 
Selling_71_ID 
Selling_71_Cost 
Selling_72_ID 
Selling_72_Cost 
Selling_73_ID 
Selling_73_Cost 
Selling_74_ID 
Selling_74_Cost 
Selling_75_ID 
Selling_75_Cost 
Selling_76_ID 
Selling_76_Cost 
Selling_77_ID 
Selling_77_Cost 
Selling_78_ID 
Selling_78_Cost 
Selling_79_ID 
Selling_79_Cost 
Selling_80_ID 
Selling_80_Cost 
Selling_81_ID 
Selling_81_Cost 
Selling_82_ID 
Selling_82_Cost 
Selling_83_ID 
Selling_83_Cost 
Selling_84_ID 
Selling_84_Cost 
Selling_85_ID 
Selling_85_Cost 
Selling_86_ID 
Selling_86_Cost  
Selling_87_ID 
Selling_87_Cost 
Selling_88_ID 
Selling_88_Cost 
Selling_89_ID 
Selling_89_Cost 
Selling_90_ID 
Selling_90_Cost 
Selling_91_ID 
Selling_91_Cost 
Selling_92_ID 
Selling_92_Cost 
Selling_93_ID 
Selling_93_Cost 
Selling_94_ID 
Selling_94_Cost 
Selling_95_ID 
Selling_95_Cost 
Selling_96_ID 
Selling_96_Cost 
Selling_97_ID 
Selling_97_Cost 
Selling_98_ID 
Selling_98_Cost 
Selling_99_ID 
Selling_99_Cost 
