GUID ad7168d6ae724b168865c04250b76e77
Type Vendor
ID 5163

Disable_Sorting

Selling 24
Selling_0_ID 81
Selling_0_Cost 21
Selling_1_ID 96
Selling_1_Cost 5
Selling_2_ID 95
Selling_2_Cost 54
Selling_3_ID 390
Selling_3_Cost 20
Selling_4_ID 389 
Selling_4_Cost 20
Selling_5_ID 392
Selling_5_Cost 20
Selling_6_ID 391
Selling_6_Cost 20
Selling_7_ID 404
Selling_7_Cost 20
Selling_8_ID 387
Selling_8_Cost 50
Selling_9_ID 388 
Selling_9_Cost 50
Selling_10_ID 269
Selling_10_Cost 50
Selling_11_ID 395
Selling_11_Cost 60
Selling_12_ID 1129
Selling_12_Cost 10
Selling_13_ID 430
Selling_13_Cost 25
Selling_14_ID 17207
Selling_14_Cost 40
Selling_15_ID 17208
Selling_15_Cost 30
Selling_16_ID 250
Selling_16_Cost 50
Selling_17_ID 17205
Selling_17_Cost 20
Selling_18_ID 1445
Selling_18_Cost 40
Selling_19_ID 1446
Selling_19_Cost 20
Selling_20_ID 84
Selling_20_Cost 2
Selling_21_Type Vehicle
Selling_21_ID 806
Selling_21_Spawnpoint MedicH
Selling_21_Cost 20000
Selling_22_Type Vehicle
Selling_22_ID 23864
Selling_22_Spawnpoint Medic
Selling_22_Cost 5000
Selling_23_Type Vehicle
Selling_23_ID 54
Selling_23_Spawnpoint Medic
Selling_23_Cost 4000
