GUID 32858c17f26942b3a466f351d4840d6f
Type Vendor
ID 6004

Disable_Sorting

Selling 28
Selling_0_ID 225
Selling_0_Cost 25
Selling_1_ID 223
Selling_1_Cost 40
Selling_2_ID 3076
Selling_2_Cost 40
Selling_3_ID 1170
Selling_3_Cost 80
Selling_4_ID 17220
Selling_4_Cost 120
Selling_5_ID 10
Selling_5_Cost 150
Selling_6_ID 1018
Selling_6_Cost 2100
Selling_7_ID 1020
Selling_7_Cost 100
Selling_8_ID 1027
Selling_8_Cost 800
Selling_9_ID 1029
Selling_9_Cost 100
Selling_10_ID 3039
Selling_10_Cost 300
Selling_11_ID 3040
Selling_11_Cost 80
Selling_12_ID 146
Selling_12_Cost 200
Selling_13_ID 147
Selling_13_Cost 200
Selling_14_ID 22
Selling_14_Cost 450
Selling_15_ID 148
Selling_15_Cost 450
Selling_16_ID 152
Selling_16_Cost 50
Selling_17_ID 151
Selling_17_Cost 80
Selling_18_ID 1008
Selling_18_Cost 100
Selling_19_Type Vehicle
Selling_19_ID 23858
Selling_19_Spawnpoint Police
Selling_19_Cost 3000
Selling_20_Type Vehicle
Selling_20_ID 188
Selling_20_Spawnpoint Police
Selling_20_Cost  500
Selling_21_Type Vehicle
Selling_21_ID 108
Selling_21_Spawnpoint PBoat
Selling_21_Cost 2000
