GUID 4eb2402aa9894f49a50f4161178a73c7
Type Vendor
ID 6005

Disable_Sorting

Selling 25
Selling_0_ID 225
Selling_0_Cost 25
Selling_1_ID 223
Selling_1_Cost 40
Selling_2_ID 3076
Selling_2_Cost 40
Selling_3_ID 1170
Selling_3_Cost 80
Selling_4_ID 17220
Selling_4_Cost 120
Selling_5_ID 10
Selling_5_Cost 150
Selling_6_ID 363
Selling_6_Cost 3000
Selling_7_ID 6
Selling_7_Cost 200
Selling_8_ID 1027
Selling_8_Cost 800
Selling_9_ID 1029
Selling_9_Cost 100
Selling_10_ID 3039
Selling_10_Cost 300
Selling_11_ID 3040
Selling_11_Cost 80
Selling_12_ID 146
Selling_12_Cost 200
Selling_13_ID 147
Selling_13_Cost 200
Selling_14_ID 22
Selling_14_Cost 450
Selling_15_ID 148
Selling_15_Cost 450
Selling_16_ID 145
Selling_16_Cost 100
Selling_17_ID 152
Selling_17_Cost 50
Selling_18_ID 151
Selling_18_Cost 80
Selling_19_ID 1008
Selling_19_Cost 100
Selling_20_Type Vehicle
Selling_20_ID 802
Selling_20_Spawnpoint Police
Selling_20_Cost 8000
Selling_21_Type Vehicle
Selling_21_ID 23859
Selling_21_Spawnpoint Police
Selling_21_Cost 5000
Selling_22_Type Vehicle
Selling_22_ID 23858
Selling_22_Spawnpoint Police
Selling_22_Cost 3000
Selling_23_Type Vehicle
Selling_23_ID 188
Selling_23_Spawnpoint Police
Selling_23_Cost 500
Selling_24_Type Vehicle
Selling_24_ID 108
Selling_24_Spawnpoint PBoat
Selling_24_Cost 2000
