GUID ca68953dab604928ae8f510147240e46
Type Vendor
ID 6013

Disable_Sorting

Selling 29
Selling_0_ID 425
Selling_0_Cost 25
Selling_1_ID 17235
Selling_1_Cost 40
Selling_2_ID 17213
Selling_2_Cost 30
Selling_3_ID 1170
Selling_3_Cost 80
Selling_4_ID 17219
Selling_4_Cost 160
Selling_5_ID 1169
Selling_5_Cost 200
Selling_6_ID 116
Selling_6_Cost 3100
Selling_7_ID 6
Selling_7_Cost 200
Selling_8_ID 1024
Selling_8_Cost 2800
Selling_9_ID 1026
Selling_9_Cost 400
Selling_10_ID 3033
Selling_10_Cost 2500
Selling_11_ID 1029
Selling_11_Cost 100
Selling_12_ID 3039
Selling_12_Cost 300
Selling_13_ID 3040
Selling_13_Cost 80
Selling_14_ID 146
Selling_14_Cost 200
Selling_15_ID 147
Selling_15_Cost 200
Selling_16_ID 22
Selling_16_Cost 450
Selling_17_ID 148
Selling_17_Cost 450
Selling_18_ID 21
Selling_18_Cost 800
Selling_19_ID 145
Selling_19_Cost 100
Selling_20_ID 7
Selling_20_Cost 1000
Selling_21_ID 152
Selling_21_Cost 50
Selling_22_ID 151
Selling_22_Cost 80
Selling_23_ID 1008
Selling_23_Cost 100
Selling_24_Type Vehicle
Selling_24_ID 107
Selling_24_Spawnpoint Police
Selling_24_Cost 10000
Selling_25_Type Vehicle
Selling_25_ID 142
Selling_25_Spawnpoint Police
Selling_25_Cost 9000
Selling_26_Type Vehicle
Selling_26_ID 23865
Selling_26_Spawnpoint Police
Selling_26_Cost 5000
Selling_27_Type Vehicle
Selling_27_ID 176
Selling_27_Spawnpoint Police
Selling_27_Cost 500
Selling_28_Type Vehicle
Selling_28_ID 124
Selling_28_Spawnpoint PBoat
Selling_28_Cost 1000
