GUID fbb38a58ee9d46cdbb346e405db1242e
Type Vendor
ID 5283

Disable_Sorting

Selling 26
Selling_0_Type Vehicle
Selling_0_ID 35346 
Selling_0_Spawnpoint Yuri
Selling_0_Cost 32000
Selling_1_Type Vehicle
Selling_1_ID 35347
Selling_1_Spawnpoint Yuri
Selling_1_Cost 33000
Selling_2_Type Vehicle
Selling_2_ID 35356
Selling_2_Spawnpoint Yuri
Selling_2_Cost 35000
Selling_3_Type Vehicle
Selling_3_ID 35357
Selling_3_Spawnpoint Yuri
Selling_3_Cost 35000
Selling_4_Type Vehicle
Selling_4_ID 35358
Selling_4_Spawnpoint Yuri
Selling_4_Cost 35000
Selling_5_Type Vehicle
Selling_5_ID 35359
Selling_5_Spawnpoint Yuri
Selling_5_Cost 35000
Selling_6_Type Vehicle
Selling_6_ID 35360
Selling_6_Spawnpoint Yuri
Selling_6_Cost 35000
Selling_7_Type Vehicle
Selling_7_ID 35361
Selling_7_Spawnpoint Yuri
Selling_7_Cost 35000
Selling_8_Type Vehicle
Selling_8_ID 35362
Selling_8_Spawnpoint Yuri
Selling_8_Cost 35000
Selling_9_Type Vehicle
Selling_9_ID 35363
Selling_9_Spawnpoint Yuri
Selling_9_Cost 35000
Selling_10_Type Vehicle
Selling_10_ID 35366
Selling_10_Spawnpoint Yuri
Selling_10_Cost 41000
Selling_11_Type Vehicle
Selling_11_ID 35367
Selling_11_Spawnpoint Yuri
Selling_11_Cost 41000
Selling_12_Type Vehicle
Selling_12_ID 35348
Selling_12_Spawnpoint Yuri
Selling_12_Cost 42000
Selling_13_Type Vehicle
Selling_13_ID 35349
Selling_13_Spawnpoint Yuri
Selling_13_Cost 42000
Selling_14_Type Vehicle
Selling_14_ID 35350
Selling_14_Spawnpoint Yuri
Selling_14_Cost 42000
Selling_15_Type Vehicle
Selling_15_ID 35351
Selling_15_Spawnpoint Yuri
Selling_15_Cost 42000
Selling_16_Type Vehicle
Selling_16_ID 35352
Selling_16_Spawnpoint Yuri
Selling_16_Cost 42000
Selling_17_Type Vehicle
Selling_17_ID 35353
Selling_17_Spawnpoint Yuri
Selling_17_Cost 42000
Selling_18_Type Vehicle
Selling_18_ID 35354
Selling_18_Spawnpoint Yuri
Selling_18_Cost 42000
Selling_19_Type Vehicle
Selling_19_ID 35355
Selling_19_Spawnpoint Yuri
Selling_19_Cost 42000
Selling_20_Type Vehicle
Selling_20_ID 35370
Selling_20_Spawnpoint Yuri
Selling_20_Cost 45000
Selling_21_Type Vehicle
Selling_21_ID 35371
Selling_21_Spawnpoint Yuri
Selling_21_Cost 45000
Selling_22_Type Vehicle
Selling_22_ID 35368
Selling_22_Spawnpoint Yuri
Selling_22_Cost 48000
Selling_23_Type Vehicle
Selling_23_ID 35369
Selling_23_Spawnpoint Yuri
Selling_23_Cost 48000
Selling_24_Type Vehicle
Selling_24_ID 35372
Selling_24_Spawnpoint Yuri
Selling_24_Cost 53000
Selling_25_Type Vehicle
Selling_25_ID 35373
Selling_25_Spawnpoint Yuri
Selling_25_Cost 53000
