GUID 308fc2075c8444cc875f72165e1dbf1e
Type Spawn
ID 23813
Roots 1
Root_0_Spawn_ID 40
Root_0_Weight 10
Tables 56
Table_0_Asset_ID 23806
Table_0_Weight 10
Table_1_Asset_ID 23807
Table_1_Weight 10
Table_2_Asset_ID 23808
Table_2_Weight 10
Table_3_Asset_ID 23809
Table_3_Weight 10
Table_4_Asset_ID 23810
Table_4_Weight 10
Table_5_Asset_ID 23811
Table_5_Weight 10
Table_6_Asset_ID 23812
Table_6_Weight 10
Table_7_Asset_ID 23813
Table_7_Weight 10
Table_8_Asset_ID 23814
Table_8_Weight 10
Table_9_Asset_ID 23815
Table_9_Weight 10
Table_10_Asset_ID 23816
Table_10_Weight 10
Table_11_Asset_ID 23817
Table_11_Weight 10
Table_12_Asset_ID 23818
Table_12_Weight 10
Table_13_Asset_ID 23819
Table_13_Weight 10
Table_14_Asset_ID 23820
Table_14_Weight 10
Table_15_Asset_ID 23821
Table_15_Weight 10
Table_16_Asset_ID 23823
Table_16_Weight 10
Table_17_Asset_ID 23824
Table_17_Weight 10
Table_18_Asset_ID 23825
Table_18_Weight 10
Table_19_Asset_ID 23826
Table_19_Weight 10
Table_20_Asset_ID 23827
Table_20_Weight 10
Table_21_Asset_ID 23828
Table_21_Weight 10
Table_22_Asset_ID 23829
Table_22_Weight 10
Table_23_Asset_ID 23830
Table_23_Weight 10
Table_24_Asset_ID 23833
Table_24_Weight 10
Table_25_Asset_ID 23834
Table_25_Weight 10
Table_26_Asset_ID 23835
Table_26_Weight 10
Table_27_Asset_ID 23836
Table_27_Weight 10
Table_28_Asset_ID 23837
Table_28_Weight 10
Table_29_Asset_ID 23838
Table_29_Weight 10
Table_30_Asset_ID 23839
Table_30_Weight 10
Table_31_Asset_ID 23840
Table_31_Weight 10
Table_32_Asset_ID 23841
Table_32_Weight 5
Table_33_Asset_ID 23842
Table_33_Weight 5
Table_34_Asset_ID 23843
Table_34_Weight 5
Table_35_Asset_ID 23844
Table_35_Weight 5
Table_36_Asset_ID 23845
Table_36_Weight 5
Table_37_Asset_ID 23846
Table_37_Weight 5
Table_38_Asset_ID 23847
Table_38_Weight 5
Table_39_Asset_ID 23848
Table_39_Weight 5
Table_40_Asset_ID 23849
Table_40_Weight 8
Table_41_Asset_ID 23850
Table_41_Weight 8
Table_42_Asset_ID 23851
Table_42_Weight 8
Table_43_Asset_ID 23852
Table_43_Weight 8
Table_44_Asset_ID 23853
Table_44_Weight 8
Table_45_Asset_ID 23854
Table_45_Weight 8
Table_46_Asset_ID 23855
Table_46_Weight 8
Table_47_Asset_ID 23856
Table_47_Weight 8
Table_48_Asset_ID 23865
Table_48_Weight 10
Table_49_Asset_ID 23866
Table_49_Weight 10
Table_50_Asset_ID 23867
Table_50_Weight 10
Table_51_Asset_ID 23868
Table_51_Weight 10
Table_52_Asset_ID 23869
Table_52_Weight 10
Table_53_Asset_ID 23870
Table_53_Weight 10
Table_54_Asset_ID 23871
Table_54_Weight 10
Table_55_Asset_ID 23872
Table_55_Weight 10
