GUID c1ddffb7d2964614b639c2b7ffd5e98e
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 3520

Size_X 3
Size_Y 2
Size_Z 0.475
Size2_Z 0.35

Sight 3521
Magazine 113

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Caliber 8

Range 40
Firerate 20
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 33
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 33
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 14
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.22

Spread_Aim 0.8
Spread_Hip 0.11

Ballistic_Steps 1
Ballistic_Travel 40

Recoil_Min_X -10
Recoil_Min_Y 25
Recoil_Max_X 10
Recoil_Max_Y 45

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 3520
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
