GUID 0561687b6fc8455f97b34822c67a3130
Type Dialogue
ID 3020

Messages 11
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3001
Message_0_Condition_0_Value 255
Message_0_Condition_0_Logic Equal
Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3001
Message_1_Condition_0_Value 1
Message_1_Condition_0_Logic Equal
Message_2_Pages 1
Message_2_Conditions 1
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3001
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Equal
Message_3_Pages 1
Message_3_Conditions 1
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 3001
Message_3_Condition_0_Value 3
Message_3_Condition_0_Logic Equal
Message_4_Pages 1
Message_4_Conditions 1
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3001
Message_4_Condition_0_Value 4
Message_4_Condition_0_Logic Equal
Message_5_Pages 1
Message_5_Conditions 1
Message_5_Condition_0_Type Flag_Short
Message_5_Condition_0_ID 3001
Message_5_Condition_0_Value 5
Message_5_Condition_0_Logic Equal
Message_6_Pages 1
Message_6_Conditions 1
Message_6_Condition_0_Type Flag_Short
Message_6_Condition_0_ID 3001
Message_6_Condition_0_Value 6
Message_6_Condition_0_Logic Equal
Message_7_Pages 1
Message_7_Conditions 1
Message_7_Condition_0_Type Flag_Short
Message_7_Condition_0_ID 3001
Message_7_Condition_0_Value 7
Message_7_Condition_0_Logic Equal
Message_8_Pages 1
Message_8_Conditions 1
Message_8_Condition_0_Type Flag_Short
Message_8_Condition_0_ID 3001
Message_8_Condition_0_Value 8
Message_8_Condition_0_Logic Equal
Message_9_Pages 1
Message_9_Conditions 1
Message_9_Condition_0_Type Flag_Short
Message_9_Condition_0_ID 3001
Message_9_Condition_0_Value 9
Message_9_Condition_0_Logic Equal
Message_10_Pages 1
Message_10_Conditions 1
Message_10_Condition_0_Type Flag_Short
Message_10_Condition_0_ID 3001
Message_10_Condition_0_Value 10
Message_10_Condition_0_Logic Equal

Responses 1
