GUID 0179e55c10cd4b9f85e3890ebe066873
Type Dialogue
ID 3023

Messages 9

//Welcome
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -1
Message_0_Condition_0_Logic Equal
Message_0_Condition_0_Allow_Unset


//You can't be in here
Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -1
Message_1_Condition_0_Logic Greater_Than
Message_1_Condition_0_Allow_Unset

//Conflict 1 Quest
Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Quest
Message_2_Condition_0_Logic Equal
Message_2_Condition_0_ID 3090
Message_2_Condition_0_Status None
Message_2_Condition_0_Allow_Unset
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3030
Message_2_Condition_1_Value -4
Message_2_Condition_1_Logic Less_Than_Or_Equal_To

//Rank Up Hoplite
Message_3_Pages 1
Message_3_Conditions 3
//Done the first Conflict
Message_3_Condition_0_Type Quest
Message_3_Condition_0_Logic Equal
Message_3_Condition_0_ID 3090
Message_3_Condition_0_Status Completed
//Completed 5 missions
Message_3_Condition_1_Type Flag_Short
Message_3_Condition_1_ID 3030
Message_3_Condition_1_Value -5
Message_3_Condition_1_Logic Less_Than_Or_Equal_To
//Are a Cadet
Message_3_Condition_2_Type Flag_Short
Message_3_Condition_2_ID 3017
Message_3_Condition_2_Value -2
Message_3_Condition_2_Logic Equal

//Rank Up Captain
Message_4_Pages 1
Message_4_Conditions 2
//Are a Hoplite
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3017
Message_4_Condition_0_Value -3
Message_4_Condition_0_Logic Equal
//Completed 10 missions
Message_4_Condition_1_Type Flag_Short
Message_4_Condition_1_ID 3030
Message_4_Condition_1_Value -10
Message_4_Condition_1_Logic Less_Than_Or_Equal_To

//Rank Up Battalion Leader
Message_5_Pages 1
Message_5_Conditions 2
//Are a Hoplite
Message_5_Condition_0_Type Flag_Short
Message_5_Condition_0_ID 3017
Message_5_Condition_0_Value -4
Message_5_Condition_0_Logic Equal
//Completed 15 missions
Message_5_Condition_1_Type Flag_Short
Message_5_Condition_1_ID 3030
Message_5_Condition_1_Value -15
Message_5_Condition_1_Logic Less_Than_Or_Equal_To

//Rank Up Colonel
Message_6_Pages 1
Message_6_Conditions 2
//Are a Hoplite
Message_6_Condition_0_Type Flag_Short
Message_6_Condition_0_ID 3017
Message_6_Condition_0_Value -5
Message_6_Condition_0_Logic Equal
//Completed 20 missions
Message_6_Condition_1_Type Flag_Short
Message_6_Condition_1_ID 3030
Message_6_Condition_1_Value -20
Message_6_Condition_1_Logic Less_Than_Or_Equal_To

//Rank Up Brigadier
Message_7_Pages 1
Message_7_Conditions 2
//Are a Hoplite
Message_7_Condition_0_Type Flag_Short
Message_7_Condition_0_ID 3017
Message_7_Condition_0_Value -6
Message_7_Condition_0_Logic Equal
//Completed 25 missions
Message_7_Condition_1_Type Flag_Short
Message_7_Condition_1_ID 3030
Message_7_Condition_1_Value -25
Message_7_Condition_1_Logic Less_Than_Or_Equal_To

Message_8_Pages 1

Responses 14

//FIll out papers
Response_0_Dialogue 3025
Response_0_Messages 1
Response_0_Message_0 0
Response_0_Rewards 1
Response_0_Reward_0_Type Flag_Short
Response_0_Reward_0_ID 3017
Response_0_Reward_0_Value -2
Response_0_Reward_0_Modification Assign

//Fill out incorrectly
Response_1_Dialogue 3024
Response_1_Conditions 1
Response_1_Condition_0_Type Flag_Bool
Response_1_Condition_0_ID 3021
Response_1_Condition_0_Value False
Response_1_Condition_0_Allow_Unset
Response_1_Messages 1
Response_1_Message_0 0
Response_1_Rewards 2
Response_1_Reward_0_Type Reputation
Response_1_Reward_0_Value -1
Response_1_Reward_1_Type Flag_Bool
Response_1_Reward_1_ID 3021
Response_1_Reward_1_Value True

//Lost my pen
Response_2_Messages 1
Response_2_Message_0 0

//How do Ranks work?
Response_3_Dialogue 3027
Response_3_Messages 1
Response_3_Message_0 8

//Conflict Zone I Quest
Response_4_Dialogue 3091
Response_4_Quest 3090
Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_ID 3090
Response_4_Condition_0_Status None
Response_4_Messages 1
Response_4_Message_0 2
Response_4_Rewards 4
Response_4_Reward_0_Type Quest
Response_4_Reward_0_ID 3090
Response_4_Reward_1_Type Flag_Bool
Response_4_Reward_1_ID 3086
Response_4_Reward_1_Value False
Response_4_Reward_2_Type Flag_Bool
Response_4_Reward_2_ID 3087
