GUID dca684cf5c54429bb34dec95d55a5846
Type Dialogue
ID 3029

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 2
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To
Message_1_Condition_1_Type Quest
Message_1_Condition_1_ID 3294
Message_1_Condition_1_Status Completed
Message_1_Condition_1_Logic Not_Equal
Message_1_Condition_1_Allow_Unset

Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value -2
Message_2_Condition_0_Logic Less_Than_Or_Equal_To
Message_2_Condition_1_Type Quest
Message_2_Condition_1_ID 3294
Message_2_Condition_1_Status Completed
Message_2_Condition_1_Logic Equal

Responses 5

Response_0_Messages 1
Response_0_Message_0 1
Response_0_Quest 3294
Response_0_Dialogue 3296
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3294
Response_0_Condition_0_Status None
Response_0_Condition_0_Allow_Unset
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3294

Response_1_Messages 1
Response_1_Message_0 0

Response_2_Messages 1
Response_2_Message_0 1
Response_2_Dialogue 3297
Response_2_Quest 3294
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 3294
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset

Response_3_Messages 1
Response_3_Message_0 1

Response_4_Messages 1
Response_4_Message_0 2
