GUID e0c51d2be10f4a2c8b38245b6089a0d1
Type Dialogue
ID 8888

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 4
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To
//Aren't a Fireman
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3001
Message_1_Condition_1_Value 1
Message_1_Condition_1_Logic Not_Equal
//Aren't a Policeman
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3001
Message_1_Condition_2_Value 2
Message_1_Condition_2_Logic Not_Equal
//Aren't a Soldier
Message_1_Condition_3_Type Flag_Short
Message_1_Condition_3_ID 3001
Message_1_Condition_3_Value 3
Message_1_Condition_3_Logic Not_Equal

Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value -2
Message_2_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the Militia
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3001
Message_2_Condition_1_Value 1
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 3001
Message_2_Condition_2_Value 3
Message_2_Condition_2_Logic Less_Than_Or_Equal_To

Responses 6

Response_0_Messages 1
Response_0_Message_0 2

Response_1_Messages 1
Response_1_Message_0 2

Response_2_Messages 1
Response_2_Message_0 2

Response_3_Messages 1
Response_3_Message_0 2

Response_4_Messages 1
Response_4_Message_0 1

Response_5_Messages 1
Response_5_Message_0 0
