GUID e39d2e6d205f4d0094bd1eae166973d2
Type Dialogue
ID 3630

Messages 2
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value 2
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To

Responses 4

// Bemus Capacity Quest Accepted
Response_0_Messages 1
Response_0_Message_0 1
Response_0_Dialogue 3628
Response_0_Quest 3624
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3624
Response_0_Condition_0_Status None
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3624

// Bemus Capacity Quest Completed
Response_1_Messages 1
Response_1_Message_0 1
Response_1_Dialogue 3629
Response_1_Quest 3624
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3624
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

Response_2_Messages 1
Response_2_Message_0 1

Response_3_Messages 1
Response_3_Message_0 0
