GUID 8fe5e8e2bf324dc0b7bbf294fb60acda
Type Dialogue
ID 3288

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 3
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To
//Aren't a Lumberjack
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3001
Message_1_Condition_1_Value 6
Message_1_Condition_1_Logic Not_Equal
//Aren't a Worker
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3001
Message_1_Condition_2_Value 7
Message_1_Condition_2_Logic Not_Equal


Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value -2
Message_2_Condition_0_Logic Less_Than_Or_Equal_To
//Are a Lumberjack
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3001
Message_2_Condition_1_Value 6
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
//Are a Worker
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 3001
Message_2_Condition_2_Value 7
Message_2_Condition_2_Logic Less_Than_Or_Equal_To

Responses 5

Response_0_Messages 1
Response_0_Message_0 2
Response_0_Dialogue 3290
Response_0_Quest 3286
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3286
Response_0_Condition_0_Status Ready
Response_0_Condition_0_Reset

Response_1_Messages 1
Response_1_Message_0 2
Response_1_Dialogue 3289
Response_1_Quest 3286
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3286
Response_1_Condition_0_Status None
Response_1_Condition_0_Allow_Unset
Response_1_Rewards 8
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 3286
//Turn on the fusebox and IDs
Response_1_Reward_1_Type Flag_Bool
Response_1_Reward_1_ID 3257
Response_1_Reward_1_Value True
Response_1_Reward_2_Type Flag_Short
Response_1_Reward_2_ID 3254
Response_1_Reward_2_Value 0
Response_1_Reward_2_Modification Assign
Response_1_Reward_3_Type Flag_Short
Response_1_Reward_3_ID 3255
Response_1_Reward_3_Value 0
Response_1_Reward_3_Modification Assign
Response_1_Reward_4_Type Flag_Short
Response_1_Reward_4_ID 3256
Response_1_Reward_4_Value 0
Response_1_Reward_4_Modification Assign
Response_1_Reward_5_Type Flag_Short
Response_1_Reward_5_ID 3258
Response_1_Reward_5_Value 0
Response_1_Reward_5_Modification Assign
Response_1_Reward_6_Type Flag_Short
Response_1_Reward_6_ID 3259
Response_1_Reward_6_Value 0
Response_1_Reward_6_Modification Assign
Response_1_Reward_7_Type Flag_Short
Response_1_Reward_7_ID 3260
Response_1_Reward_7_Value 0
Response_1_Reward_7_Modification Assign

Response_2_Messages 1
Response_2_Message_0 2

Response_3_Messages 1
Response_3_Message_0 1

Response_4_Messages 1
Response_4_Message_0 0
