GUID ab33917d9c0f4ecfa92a063a04f0b285
Type Dialogue
ID 3142

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 3
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value 2
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To
//Aren't a Farmer
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3001
Message_1_Condition_1_Value 4
Message_1_Condition_1_Logic Not_Equal
//Aren't a Fisher
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3001
Message_1_Condition_2_Value 5
Message_1_Condition_2_Logic Not_Equal


Message_2_Pages 1
Message_2_Conditions 3
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Greater_Than_Or_Equal_To
//Are a Farmer
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3001
Message_2_Condition_1_Value 4
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
//Are a Fisher
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 3001
Message_2_Condition_2_Value 5
Message_2_Condition_2_Logic Less_Than_Or_Equal_To

Responses 8

Response_0_Messages 1
Response_0_Message_0 2
Response_0_Dialogue 3143
Response_0_Quest 3147
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3147
Response_0_Condition_0_Status None
Response_0_Rewards 6
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3147
Response_0_Reward_1_Type Flag_Bool
Response_0_Reward_1_ID 3138
Response_0_Reward_1_Value False
Response_0_Reward_2_Type Flag_Bool
Response_0_Reward_2_ID 3139
Response_0_Reward_2_Value False
Response_0_Reward_3_Type Flag_Bool
Response_0_Reward_3_ID 3140
Response_0_Reward_3_Value False
Response_0_Reward_4_Type Flag_Bool
Response_0_Reward_4_ID 3141
Response_0_Reward_4_Value False
Response_0_Reward_5_Type Flag_Bool
Response_0_Reward_5_ID 3137
Response_0_Reward_5_Value False

Response_1_Messages 1
Response_1_Message_0 2
Response_1_Dialogue 3144
Response_1_Quest 3147
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3147
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

Response_2_Messages 1
Response_2_Message_0 2
Response_2_Dialogue 3145
Response_2_Quest 3148
Response_2_Conditions 2
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 3147
Response_2_Condition_0_Status Completed
Response_2_Condition_1_Type Quest
Response_2_Condition_1_Logic Equal
Response_2_Condition_1_ID 3148
Response_2_Condition_1_Status None
Response_2_Rewards 1
Response_2_Reward_0_Type Quest
Response_2_Reward_0_ID 3148

Response_3_Messages 1
Response_3_Message_0 2
Response_3_Dialogue 3146
Response_3_Quest 3148
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_ID 3148
Response_3_Condition_0_Status Ready
Response_3_Condition_0_Reset

Response_4_Messages 1
Response_4_Message_0 2
Response_4_Dialogue 3517
Response_4_Quest 3510
Response_4_Conditions 2
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_ID 3148
Response_4_Condition_0_Status Completed
Response_4_Condition_1_Type Quest
Response_4_Condition_1_Logic Equal
Response_4_Condition_1_ID 3510
Response_4_Condition_1_Status None
Response_4_Rewards 1
Response_4_Reward_0_Type Quest
Response_4_Reward_0_ID 3510

Response_5_Messages 1
Response_5_Message_0 2

Response_6_Messages 1
Response_6_Message_0 1

Response_7_Messages 1
Response_7_Message_0 0
