GUID 8f5031c405214ed290c87b037f0539d2
Type Dialogue
ID 3509

Messages 5
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Quest
Message_1_Condition_0_ID 3511
Message_1_Condition_0_Status Active
Message_1_Condition_0_Logic Equal

Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Quest
Message_2_Condition_0_ID 3511
Message_2_Condition_0_Status None
Message_2_Condition_0_Logic Equal
Message_2_Condition_0_Allow_Unset
Message_2_Condition_1_Type Quest
Message_2_Condition_1_ID 3148
Message_2_Condition_1_Status Completed
Message_2_Condition_1_Logic Equal

Message_3_Pages 1
Message_3_Conditions 1
Message_3_Condition_0_Type Quest
Message_3_Condition_0_ID 3511
Message_3_Condition_0_Status Ready
Message_3_Condition_0_Logic Equal

Message_4_Pages 1
Message_4_Conditions 1
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3017
Message_4_Condition_0_Value 2
Message_4_Condition_0_Logic Greater_Than_Or_Equal_To



Responses 6

Response_0_Messages 1
Response_0_Message_0 2
Response_0_Dialogue 3514
Response_0_Quest 3511
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 3511
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Allow_Unset
Response_0_Rewards 5
Response_0_Reward_0_Type Flag_Short
Response_0_Reward_0_ID 3214
Response_0_Reward_0_Value 0
Response_0_Reward_0_Modification Assign
Response_0_Reward_1_Type Flag_Short
Response_0_Reward_1_ID 3215
Response_0_Reward_1_Value 0
Response_0_Reward_1_Modification Assign
Response_0_Reward_2_Type Flag_Short
Response_0_Reward_2_ID 3216
Response_0_Reward_2_Value 0
Response_0_Reward_2_Modification Assign
Response_0_Reward_3_Type Flag_Short
Response_0_Reward_3_ID 3217
Response_0_Reward_3_Value 0
Response_0_Reward_3_Modification Assign
Response_0_Reward_4_Type Quest
Response_0_Reward_4_ID 3511

Response_1_Messages 1
Response_1_Message_0 3
Response_1_Dialogue 3515
Response_1_Quest 3511
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3511
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

//Hints
Response_2_Messages 1
Response_2_Message_0 1
Response_2_Dialogue 3516

Response_3_Messages 3
Response_3_Message_0 1
Response_3_Message_1 2
Response_3_Message_2 3

Response_4_Messages 1
Response_4_Message_0 4

Response_5_Messages 1
Response_5_Message_0 0
