GUID 9d04d49cb0b549c4b25e4f86e5c7485d
Type Dialogue
ID 3206

Messages 7
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 3
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To
//Aren't a Farmer
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3001
Message_1_Condition_1_Value 4
Message_1_Condition_1_Logic Not_Equal
//Aren't a Fisher
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3001
Message_1_Condition_2_Value 5
Message_1_Condition_2_Logic Not_Equal

//Haven't done the Georgette questline.
Message_2_Pages 1
Message_2_Conditions 4
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value -2
Message_2_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the agriculture department
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3001
Message_2_Condition_1_Value 4
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 3001
Message_2_Condition_2_Value 5
Message_2_Condition_2_Logic Less_Than_Or_Equal_To
//Georgette Questline hasn't begun.
Message_2_Condition_3_Type Flag_Short
Message_2_Condition_3_ID 3207
Message_2_Condition_3_Value 0
Message_2_Condition_3_Logic Equal
Message_2_Condition_3_Allow_Unset

//Knowledge of what she has
Message_3_Pages 1
Message_3_Conditions 4
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 3017
Message_3_Condition_0_Value -2
Message_3_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the agriculture department
Message_3_Condition_1_Type Flag_Short
Message_3_Condition_1_ID 3001
Message_3_Condition_1_Value 4
Message_3_Condition_1_Logic Greater_Than_Or_Equal_To
Message_3_Condition_2_Type Flag_Short
Message_3_Condition_2_ID 3001
Message_3_Condition_2_Value 5
Message_3_Condition_2_Logic Less_Than_Or_Equal_To
//Georgette Questline hasn't begun but you know she has berries
Message_3_Condition_3_Type Flag_Short
Message_3_Condition_3_ID 3207
Message_3_Condition_3_Value 1
Message_3_Condition_3_Logic Equal

//Helping her out
Message_4_Pages 1
Message_4_Conditions 4
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3017
Message_4_Condition_0_Value -2
Message_4_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the agriculture department
Message_4_Condition_1_Type Flag_Short
Message_4_Condition_1_ID 3001
Message_4_Condition_1_Value 4
Message_4_Condition_1_Logic Greater_Than_Or_Equal_To
Message_4_Condition_2_Type Flag_Short
Message_4_Condition_2_ID 3001
Message_4_Condition_2_Value 5
Message_4_Condition_2_Logic Less_Than_Or_Equal_To
//You are helping her out
Message_4_Condition_3_Type Flag_Short
Message_4_Condition_3_ID 3207
Message_4_Condition_3_Value 2
Message_4_Condition_3_Logic Equal

//Done helping her
Message_5_Pages 1
Message_5_Conditions 4
Message_5_Condition_0_Type Flag_Short
Message_5_Condition_0_ID 3017
Message_5_Condition_0_Value -2
Message_5_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the agriculture department
Message_5_Condition_1_Type Flag_Short
Message_5_Condition_1_ID 3001
Message_5_Condition_1_Value 4
Message_5_Condition_1_Logic Greater_Than_Or_Equal_To
Message_5_Condition_2_Type Flag_Short
Message_5_Condition_2_ID 3001
Message_5_Condition_2_Value 5
Message_5_Condition_2_Logic Less_Than_Or_Equal_To
//You are done helping
Message_5_Condition_3_Type Flag_Short
Message_5_Condition_3_ID 3207
Message_5_Condition_3_Value 3
Message_5_Condition_3_Logic Equal

//Done helping her
Message_6_Pages 1
Message_6_Conditions 4
Message_6_Condition_0_Type Flag_Short
Message_6_Condition_0_ID 3017
Message_6_Condition_0_Value -2
Message_6_Condition_0_Logic Less_Than_Or_Equal_To
//Are in the agriculture department
Message_6_Condition_1_Type Flag_Short
Message_6_Condition_1_ID 3001
Message_6_Condition_1_Value 4
Message_6_Condition_1_Logic Greater_Than_Or_Equal_To
Message_6_Condition_2_Type Flag_Short
Message_6_Condition_2_ID 3001
Message_6_Condition_2_Value 5
Message_6_Condition_2_Logic Less_Than_Or_Equal_To
//You are done helping
Message_6_Condition_3_Type Flag_Short
Message_6_Condition_3_ID 3207
Message_6_Condition_3_Value -1
Message_6_Condition_3_Logic Equal

Responses 10

Response_0_Messages 1
Response_0_Message_0 2

Response_1_Messages 1
Response_1_Message_0 2
Response_1_Dialogue 3208

Response_2_Messages 1
Response_2_Message_0 3
Response_2_Dialogue 3209

Response_3_Messages 1
Response_3_Message_0 3

Response_4_Messages 1
Response_4_Message_0 4
Response_4_Dialogue 3211
Response_4_Quest 3212
Response_4_Conditions 1
Response_4_Condition_0_Type Quest
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_ID 3212
Response_4_Condition_0_Status Ready
Response_4_Condition_0_Reset

Response_5_Messages 1
Response_5_Message_0 4

Response_6_Messages 1
Response_6_Message_0 5

Response_7_Messages 1
Response_7_Message_0 6

Response_8_Messages 1
Response_8_Message_0 1

Response_9_Messages 1
Response_9_Message_0 0
