GUID f0fe57aab4b941c3a819adf79c5b8124
Type Dialogue
ID 3221

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 3
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To
//Aren't doing the pesticide quest
Message_1_Condition_1_Type Quest
Message_1_Condition_1_ID 3218
Message_1_Condition_1_Status Active
Message_1_Condition_1_Logic Not_Equal
Message_1_Condition_1_Allow_Unset
Message_1_Condition_2_Type Quest
Message_1_Condition_2_ID 3218
Message_1_Condition_2_Status Ready
Message_1_Condition_2_Logic Not_Equal
Message_1_Condition_2_Allow_Unset

//Are doing the pesticide quest
Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value -2
Message_2_Condition_0_Logic Less_Than_Or_Equal_To
//Are doing the pesticide quest
Message_2_Condition_1_Type Quest
Message_2_Condition_1_ID 3218
Message_2_Condition_1_Status None
Message_2_Condition_1_Logic Not_Equal

Responses 6

Response_0_Messages 1
Response_0_Message_0 2
Response_0_Conditions 1
Response_0_Condition_0_Type Flag_Short
Response_0_Condition_0_ID 3214
Response_0_Condition_0_Value 1
Response_0_Condition_0_Logic Less_Than
Response_0_Condition_0_Allow_Unset
Response_0_Dialogue 3222
Response_0_Rewards 4
Response_0_Reward_0_Type Flag_Short
Response_0_Reward_0_ID 3214
Response_0_Reward_0_Value 0
Response_0_Reward_0_Modification Assign
Response_0_Reward_1_Type Flag_Short
Response_0_Reward_1_ID 3215
Response_0_Reward_1_Value 0
Response_0_Reward_1_Modification Assign
Response_0_Reward_2_Type Flag_Short
Response_0_Reward_2_ID 3216
Response_0_Reward_2_Value 0
Response_0_Reward_2_Modification Assign
Response_0_Reward_3_Type Flag_Short
Response_0_Reward_3_ID 3217
Response_0_Reward_3_Value 0
Response_0_Reward_3_Modification Assign

Response_1_Messages 1
Response_1_Message_0 2
Response_1_Conditions 2
Response_1_Condition_0_Type Flag_Short
Response_1_Condition_0_ID 3214
Response_1_Condition_0_Value 0
Response_1_Condition_0_Logic Greater_Than
Response_1_Condition_1_Type Flag_Short
Response_1_Condition_1_ID 3214
Response_1_Condition_1_Value 4
Response_1_Condition_1_Logic Less_Than
Response_1_Dialogue 3223

Response_2_Messages 1
Response_2_Message_0 2
Response_2_Dialogue 3220
Response_2_Quest 3218
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 3218
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset


Response_3_Messages 1
Response_3_Message_0 2

Response_4_Messages 1
Response_4_Message_0 1

Response_5_Messages 1
Response_5_Message_0 0
