GUID 39ab55efbcbe40bd8578b653d7054cc1
Type Dialogue
ID 3008

Messages 1
Message_0_Pages 1

Responses 12

Response_0_Dialogue 3010
Response_0_Conditions 10
Response_0_Condition_0_Type Skillset
Response_0_Condition_0_Value Fire
Response_0_Condition_0_Logic Not_Equal
Response_0_Condition_1_Type Skillset
Response_0_Condition_1_Value Police
Response_0_Condition_1_Logic Not_Equal
Response_0_Condition_2_Type Skillset
Response_0_Condition_2_Value Army
Response_0_Condition_2_Logic Not_Equal
Response_0_Condition_3_Type Skillset
Response_0_Condition_3_Value Farm
Response_0_Condition_3_Logic Not_Equal
Response_0_Condition_4_Type Skillset
Response_0_Condition_4_Value Fish
Response_0_Condition_4_Logic Not_Equal
Response_0_Condition_5_Type Skillset
Response_0_Condition_5_Value Camp
Response_0_Condition_5_Logic Not_Equal
Response_0_Condition_6_Type Skillset
Response_0_Condition_6_Value Work
Response_0_Condition_6_Logic Not_Equal
Response_0_Condition_7_Type Skillset
Response_0_Condition_7_Value Chef
Response_0_Condition_7_Logic Not_Equal
Response_0_Condition_8_Type Skillset
Response_0_Condition_8_Value Thief
Response_0_Condition_8_Logic Not_Equal
Response_0_Condition_9_Type Skillset
Response_0_Condition_9_Value Medic
Response_0_Condition_9_Logic Not_Equal
Response_0_Rewards 1
Response_0_Reward_0_Type Flag_Short
Response_0_Reward_0_ID 3001
Response_0_Reward_0_Value 255
Response_0_Reward_0_Modification Assign

Response_1_Dialogue 3010
Response_1_Conditions 1
Response_1_Condition_0_Type Skillset
Response_1_Condition_0_Value Fire
Response_1_Condition_0_Logic Equal
Response_1_Rewards 1
Response_1_Reward_0_Type Flag_Short
Response_1_Reward_0_ID 3001
Response_1_Reward_0_Value 1
Response_1_Reward_0_Modification Assign

Response_2_Dialogue 3010
Response_2_Conditions 1
Response_2_Condition_0_Type Skillset
Response_2_Condition_0_Value Police
Response_2_Condition_0_Logic Equal
Response_2_Rewards 1
Response_2_Reward_0_Type Flag_Short
Response_2_Reward_0_ID 3001
Response_2_Reward_0_Value 2
Response_2_Reward_0_Modification Assign

Response_3_Dialogue 3010
Response_3_Conditions 1
Response_3_Condition_0_Type Skillset
Response_3_Condition_0_Value Army
Response_3_Condition_0_Logic Equal
Response_3_Rewards 1
Response_3_Reward_0_Type Flag_Short
Response_3_Reward_0_ID 3001
Response_3_Reward_0_Value 3
Response_3_Reward_0_Modification Assign

Response_4_Dialogue 3010
Response_4_Conditions 1
Response_4_Condition_0_Type Skillset
Response_4_Condition_0_Value Farm
Response_4_Condition_0_Logic Equal
Response_4_Rewards 1
Response_4_Reward_0_Type Flag_Short
Response_4_Reward_0_ID 3001
Response_4_Reward_0_Value 4
Response_4_Reward_0_Modification Assign

Response_5_Dialogue 3010
Response_5_Conditions 1
Response_5_Condition_0_Type Skillset
Response_5_Condition_0_Value Fish
Response_5_Condition_0_Logic Equal
Response_5_Rewards 1
Response_5_Reward_0_Type Flag_Short
Response_5_Reward_0_ID 3001
Response_5_Reward_0_Value 5
Response_5_Reward_0_Modification Assign

Response_6_Dialogue 3010
Response_6_Conditions 1
Response_6_Condition_0_Type Skillset
Response_6_Condition_0_Value Camp
Response_6_Condition_0_Logic Equal
Response_6_Rewards 1
Response_6_Reward_0_Type Flag_Short
Response_6_Reward_0_ID 3001
Response_6_Reward_0_Value 6
Response_6_Reward_0_Modification Assign

Response_7_Dialogue 3010
Response_7_Conditions 1
Response_7_Condition_0_Type Skillset
Response_7_Condition_0_Value Work
Response_7_Condition_0_Logic Equal
Response_7_Rewards 1
Response_7_Reward_0_Type Flag_Short
Response_7_Reward_0_ID 3001
Response_7_Reward_0_Value 7
Response_7_Reward_0_Modification Assign

Response_8_Dialogue 3010
Response_8_Conditions 1
Response_8_Condition_0_Type Skillset
Response_8_Condition_0_Value Chef
Response_8_Condition_0_Logic Equal
Response_8_Rewards 1
Response_8_Reward_0_Type Flag_Short
Response_8_Reward_0_ID 3001
Response_8_Reward_0_Value 8
Response_8_Reward_0_Modification Assign

Response_9_Dialogue 3010
Response_9_Conditions 1
Response_9_Condition_0_Type Skillset
Response_9_Condition_0_Value Thief
Response_9_Condition_0_Logic Equal
Response_9_Rewards 1
Response_9_Reward_0_Type Flag_Short
Response_9_Reward_0_ID 3001
Response_9_Reward_0_Value 9
Response_9_Reward_0_Modification Assign

Response_10_Dialogue 3010
Response_10_Conditions 1
Response_10_Condition_0_Type Skillset
Response_10_Condition_0_Value Medic
Response_10_Condition_0_Logic Equal
Response_10_Rewards 1
Response_10_Reward_0_Type Flag_Short
Response_10_Reward_0_ID 3001
Response_10_Reward_0_Value 10
Response_10_Reward_0_Modification Assign
