GUID 72c3decd7b3343f6ac071c59113b38d4
Type Dialogue
ID 3003

Messages 29

//Neutral Hello Set 0 Response 0
Message_0_Pages 1
Message_0_Conditions 3
//Text Response Set 0
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3002
Message_0_Condition_0_Value 0
Message_0_Condition_0_Logic Less_Than_Or_Equal_To
Message_0_Condition_0_Allow_Unset
//Text Responses <=3
Message_0_Condition_1_Type Flag_Short
Message_0_Condition_1_ID 3004
Message_0_Condition_1_Value 3
Message_0_Condition_1_Logic Less_Than_Or_Equal_To
Message_0_Condition_1_Allow_Unset
//Neutral Faction
Message_0_Condition_2_Type Flag_Short
Message_0_Condition_2_ID 3000
Message_0_Condition_2_Value 0
Message_0_Condition_2_Logic Equal
Message_0_Condition_2_Allow_Unset
Message_0_Rewards 2
//Randomize Text Responses
Message_0_Reward_0_Type Flag_Short_Random
Message_0_Reward_0_ID 3002
Message_0_Reward_0_Min_Value 0
Message_0_Reward_0_Max_Value 2
Message_0_Reward_0_Modification Assign
//Increase Responses
Message_0_Reward_1_Type Flag_Short
Message_0_Reward_1_ID 3004
Message_0_Reward_1_Value 1
Message_0_Reward_1_Modification Increment

//Neutral Hello Set 0 Response 1
Message_1_Pages 1
Message_1_Conditions 3
//Text Set 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3002
Message_1_Condition_0_Value 1
Message_1_Condition_0_Logic Equal
Message_1_Condition_0_Allow_Unset
//Text Responses <=3
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3004
Message_1_Condition_1_Value 3
Message_1_Condition_1_Logic Less_Than_Or_Equal_To
Message_1_Condition_1_Allow_Unset
//Neutral Faction
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3000
Message_1_Condition_2_Value 0
Message_1_Condition_2_Logic Equal
Message_1_Condition_2_Allow_Unset
Message_1_Rewards 2
//Randomize Text Responses
Message_1_Reward_0_Type Flag_Short_Random
Message_1_Reward_0_ID 3002
Message_1_Reward_0_Min_Value 0
Message_1_Reward_0_Max_Value 2
Message_1_Reward_0_Modification Assign
//Increase Responses
Message_1_Reward_1_Type Flag_Short
Message_1_Reward_1_ID 3004
Message_1_Reward_1_Value 1
