GUID b97587537ca5459d918e7049d7b24d13
Type Dialogue
ID 3198

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 3
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value 2
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To
//Aren't a Thief
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3001
Message_1_Condition_1_Value 9
Message_1_Condition_1_Logic Not_Equal
//Aren't a Civillian
Message_1_Condition_2_Type Flag_Short
Message_1_Condition_2_ID 3001
Message_1_Condition_2_Value 255
Message_1_Condition_2_Logic Not_Equal


Message_2_Pages 1
Message_2_Conditions 4
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Greater_Than_Or_Equal_To
//Are a Thief
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3001
Message_2_Condition_1_Value 9
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
//Are a Civillian
Message_2_Condition_2_Type Flag_Short
Message_2_Condition_2_ID 3001
Message_2_Condition_2_Value 255
Message_2_Condition_2_Logic Less_Than_Or_Equal_To
//Arent a Doctor
Message_2_Condition_3_Type Flag_Short
Message_2_Condition_3_ID 3001
Message_2_Condition_3_Value 10
Message_2_Condition_3_Logic Not_Equal

Responses 14

Response_0_Messages 1
Response_0_Message_0 2
Response_0_Dialogue 3199
Response_0_Quest 3203
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3203
Response_0_Condition_0_Status None
Response_0_Rewards 9
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3203
Response_0_Reward_1_Type Flag_Bool
Response_0_Reward_1_ID 3188
Response_0_Reward_1_Value False
Response_0_Reward_2_Type Flag_Bool
Response_0_Reward_2_ID 3189
Response_0_Reward_2_Value False
Response_0_Reward_3_Type Flag_Bool
Response_0_Reward_3_ID 3190
Response_0_Reward_3_Value False
Response_0_Reward_4_Type Flag_Bool
Response_0_Reward_4_ID 3191
Response_0_Reward_4_Value False
Response_0_Reward_5_Type Flag_Bool
Response_0_Reward_5_ID 3192
Response_0_Reward_5_Value False
Response_0_Reward_6_Type Flag_Bool
Response_0_Reward_6_ID 3193
Response_0_Reward_6_Value False
