GUID 6121f6440f2b4b24ae6cb4143992c90a
Type Dialogue
ID 3633

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Quest
Message_1_Condition_0_ID 3622
Message_1_Condition_0_Status Completed
Message_1_Condition_0_Logic Equal

Message_2_Pages 1
Message_2_Conditions 1
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3017
Message_2_Condition_0_Value 2
Message_2_Condition_0_Logic Greater_Than_Or_Equal_To

Responses 4

// Giles Snack Attack Quest Accepted
Response_0_Messages 1
Response_0_Message_0 2
Response_0_Dialogue 3631
Response_0_Quest 3622
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3622
Response_0_Condition_0_Status None
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3622

// Giles Snack Attack Quest Completed
Response_1_Messages 1
Response_1_Message_0 2
Response_1_Dialogue 3632
Response_1_Quest 3622
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3622
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

Response_2_Messages 2
Response_2_Message_0 1
Response_2_Message_1 2

Response_3_Messages 1
Response_3_Message_0 0
