GUID cd8a997299eb4d2b9cb57a6b4b27ea8f
Type Dialogue
ID 3655

Messages 14
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 6
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 2
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3653
Message_1_Condition_0_Value 0
Message_1_Condition_0_Logic Equal
Message_1_Condition_0_Allow_Unset
Message_1_Condition_1_Type Flag_Short
Message_1_Condition_1_ID 3017
Message_1_Condition_1_Value 6
Message_1_Condition_1_Logic Greater_Than_Or_Equal_To
Message_1_Rewards 1
Message_1_Reward_0_Type Flag_Short_Random
Message_1_Reward_0_ID 3653
Message_1_Reward_0_Min_Value 1
Message_1_Reward_0_Max_Value 12
Message_1_Reward_0_Modification Assign

Message_2_Pages 1
Message_2_Conditions 2
Message_2_Condition_0_Type Flag_Short
Message_2_Condition_0_ID 3653
Message_2_Condition_0_Value 1
Message_2_Condition_0_Logic Equal
Message_2_Condition_1_Type Flag_Short
Message_2_Condition_1_ID 3017
Message_2_Condition_1_Value 6
Message_2_Condition_1_Logic Greater_Than_Or_Equal_To
Message_2_Rewards 1
Message_2_Reward_0_Type Flag_Short_Random
Message_2_Reward_0_ID 3653
Message_2_Reward_0_Min_Value 1
Message_2_Reward_0_Max_Value 12
Message_2_Reward_0_Modification Assign

Message_3_Pages 1
Message_3_Conditions 2
Message_3_Condition_0_Type Flag_Short
Message_3_Condition_0_ID 3653
Message_3_Condition_0_Value 2
Message_3_Condition_0_Logic Equal
Message_3_Condition_1_Type Flag_Short
Message_3_Condition_1_ID 3017
Message_3_Condition_1_Value 6
Message_3_Condition_1_Logic Greater_Than_Or_Equal_To
Message_3_Rewards 1
Message_3_Reward_0_Type Flag_Short_Random
Message_3_Reward_0_ID 3653
Message_3_Reward_0_Min_Value 1
Message_3_Reward_0_Max_Value 12
Message_3_Reward_0_Modification Assign

Message_4_Pages 1
Message_4_Conditions 2
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3653
Message_4_Condition_0_Value 3
Message_4_Condition_0_Logic Equal
Message_4_Condition_1_Type Flag_Short
Message_4_Condition_1_ID 3017
Message_4_Condition_1_Value 6
Message_4_Condition_1_Logic Greater_Than_Or_Equal_To
Message_4_Rewards 1
Message_4_Reward_0_Type Flag_Short_Random
Message_4_Reward_0_ID 3653
Message_4_Reward_0_Min_Value 1
Message_4_Reward_0_Max_Value 12
Message_4_Reward_0_Modification Assign

Message_5_Pages 1
Message_5_Conditions 2
Message_5_Condition_0_Type Flag_Short
Message_5_Condition_0_ID 3653
Message_5_Condition_0_Value 4
Message_5_Condition_0_Logic Equal
Message_5_Condition_1_Type Flag_Short
Message_5_Condition_1_ID 3017
Message_5_Condition_1_Value 6
Message_5_Condition_1_Logic Greater_Than_Or_Equal_To
Message_5_Rewards 1
Message_5_Reward_0_Type Flag_Short_Random
Message_5_Reward_0_ID 3653
Message_5_Reward_0_Min_Value 1
Message_5_Reward_0_Max_Value 12
Message_5_Reward_0_Modification Assign

Message_6_Pages 1
Message_6_Conditions 2
Message_6_Condition_0_Type Flag_Short
Message_6_Condition_0_ID 3653
Message_6_Condition_0_Value 5
Message_6_Condition_0_Logic Equal
Message_6_Condition_1_Type Flag_Short
Message_6_Condition_1_ID 3017
Message_6_Condition_1_Value 6
Message_6_Condition_1_Logic Greater_Than_Or_Equal_To
Message_6_Rewards 1
Message_6_Reward_0_Type Flag_Short_Random
Message_6_Reward_0_ID 3653
