GUID f6fabc6dac1f4ad5b2ee85c5b0c8fea6
Type Dialogue
ID 3611

Messages 2
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value 2
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To

Responses 6

// Cost Of Knowledge Quest Accepted
Response_0_Messages 1
Response_0_Message_0 1
Response_0_Dialogue 3613
Response_0_Quest 3612
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3612
Response_0_Condition_0_Status None
Response_0_Rewards 2
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3612
Response_0_Reward_1_Type Flag_Bool
Response_0_Reward_1_ID 3615
Response_0_Reward_1_Value False

//Do Experiments
Response_1_Messages 1
Response_1_Message_0 1
Response_1_Dialogue 3616
Response_1_Conditions 2
Response_1_Condition_0_Type Flag_Bool
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3615
Response_1_Condition_0_Value False
Response_1_Condition_1_Type Player_Life_Virus
Response_1_Condition_1_Value 50
Response_1_Condition_1_Logic Less_Than
Response_1_Rewards 1
Response_1_Reward_0_Type Flag_Bool
Response_1_Reward_0_ID 3615
Response_1_Reward_0_Value True

// Cost of Knowledge Quest Completed
Response_2_Messages 1
Response_2_Message_0 1
Response_2_Dialogue 3614
Response_2_Quest 3612
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 3612
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset

// Provide Information theories
Response_3_Messages 1
Response_3_Message_0 1
Response_3_Dialogue 3617
Response_3_Conditions 1
Response_3_Condition_0_Type Quest
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_ID 3612
Response_3_Condition_0_Status Completed

Response_4_Messages 1
Response_4_Message_0 1

Response_5_Messages 1
Response_5_Message_0 0
