GUID 4f41e2d432974d98b7a539dbda8dbe8b
Type Dialogue
ID 3609

Messages 5
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Quest
Message_1_Condition_0_ID 3636
Message_1_Condition_0_Status Completed
Message_1_Condition_0_Logic Equal

Message_2_Pages 1
Message_2_Conditions 1
Message_2_Condition_0_Type Quest
Message_2_Condition_0_ID 3635
Message_2_Condition_0_Status Completed
Message_2_Condition_0_Logic Equal

Message_3_Pages 1
Message_3_Conditions 1
Message_3_Condition_0_Type Quest
Message_3_Condition_0_ID 3634
Message_3_Condition_0_Status Completed
Message_3_Condition_0_Logic Equal

Message_4_Pages 1
Message_4_Conditions 1
Message_4_Condition_0_Type Flag_Short
Message_4_Condition_0_ID 3017
Message_4_Condition_0_Value 2
Message_4_Condition_0_Logic Greater_Than_Or_Equal_To

Responses 5

Response_0_Messages 1
Response_0_Message_0 1

Response_1_Messages 1
Response_1_Message_0 2

Response_2_Messages 1
Response_2_Message_0 3

Response_3_Messages 1
Response_3_Message_0 4

Response_4_Messages 1
Response_4_Message_0 0
