GUID 0e764df8ad3749ea9e2df855886e0328
Type Dialogue
ID 3466

Messages 3
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value 2
Message_0_Condition_0_Logic Less_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value 2
Message_1_Condition_0_Logic Greater_Than_Or_Equal_To

Responses 8

// What're you doing?
Response_0_Dialogue 3467
Response_0_Conditions 2
//Don't have access to the doors
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3465
Response_0_Condition_0_Status None
Response_0_Condition_1_Type Flag_Short
Response_0_Condition_1_ID 3347
Response_0_Condition_1_Value 2
Response_0_Condition_1_Logic Less_Than
Response_0_Condition_1_Allow_Unset
Response_0_Messages 1
Response_0_Message_0 1
Response_0_Rewards 1
Response_0_Reward_0_Type Flag_Short
Response_0_Reward_0_ID 3347
Response_0_Reward_0_Value 1
Response_0_Reward_0_Modification Assign

// Can I use the doors?
Response_1_Dialogue 3469
Response_1_Conditions 3
//Don't have access to the doors
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3465
Response_1_Condition_0_Status None
Response_1_Condition_1_Type Flag_Short
Response_1_Condition_1_ID 3347
Response_1_Condition_1_Value 3
Response_1_Condition_1_Logic Less_Than
Response_1_Condition_2_Type Flag_Short
Response_1_Condition_2_ID 3347
Response_1_Condition_2_Value 0
Response_1_Condition_2_Logic Greater_Than
Response_1_Messages 1
Response_1_Message_0 1

// I brought that oil can!
// Door_Oil_Completed
Response_2_Dialogue 3349
Response_2_Quest 3340
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_ID 3465
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Reset
Response_2_Messages 1
Response_2_Message_0 1

//How many uses do I have?
Response_3_Messages 1
Response_3_Message_0 1
Response_3_Dialogue 3466
Response_3_Quest 3352
Response_3_Conditions 1
Response_3_Condition_0_Type Flag_Short
Response_3_Condition_0_ID 3347
Response_3_Condition_0_Value 4
Response_3_Condition_0_Logic Equal

//How do I get more uses?
Response_4_Messages 1
Response_4_Message_0 1
Response_4_Dialogue 3350
Response_4_Conditions 1
Response_4_Condition_0_Type Flag_Short
Response_4_Condition_0_ID 3347
Response_4_Condition_0_Value 4
Response_4_Condition_0_Logic Equal

//Refuel door
Response_5_Messages 1
Response_5_Message_0 1
Response_5_Dialogue 3353
Response_5_Conditions 1
Response_5_Condition_0_Type Item
Response_5_Condition_0_ID 28
Response_5_Condition_0_Amount 1
Response_5_Condition_0_Reset
Response_5_Rewards 1
Response_5_Reward_0_Type Flag_Short
Response_5_Reward_0_ID 3351
Response_5_Reward_0_Value 2
Response_5_Reward_0_Modification Increment

Response_6_Messages 1
Response_6_Message_0 1

Response_7_Messages 1
Response_7_Message_0 0
