Message_0_Page_0 Uh, I don't think you should be in here.
Message_1_Page_0 Oh, good, you made it back.
Message_2_Page_0 Hurry now, we need that blood asap.
Message_3_Page_0 All done in there?
Message_4_Page_0 What's going on, is it as bad as it sounds? Is he going to make it?
Message_5_Page_0 Hello <name_char>, need anything?

Response_0 Was there ever any doubt?
Response_1 I'm just about to go get it.
Response_2 Yeah, all done.
Response_3 He's not looking well, but we'll see.
Response_4 Nope, I'm good.
Response_5 Sorry, I'll leave.
