GUID 74238266413e4b4db4553b6e3fd455f4
Type Dialogue
ID 3373

Messages 2
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To

Responses 4

// You are a Photographer?
// Anomaly_Accepted
Response_0_Dialogue 3374
Response_0_Quest 3376
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 3376
Response_0_Condition_0_Status None
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 3376
Response_0_Messages 1
Response_0_Message_0 1

// Those were no ghosts!
// Anomaly_Completed
Response_1_Dialogue 3375
Response_1_Quest 3376
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3376
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset
Response_1_Messages 1
Response_1_Message_0 1

Response_2_Messages 1
Response_2_Message_0 1

Response_3_Messages 1
Response_3_Message_0 0
