GUID 7759399e94444504a843a840119a1791
Type Dialogue
ID 3315

Messages 2
Message_0_Pages 1
Message_0_Conditions 1
Message_0_Condition_0_Type Flag_Short
Message_0_Condition_0_ID 3017
Message_0_Condition_0_Value -2
Message_0_Condition_0_Logic Greater_Than
Message_0_Condition_0_Allow_Unset

Message_1_Pages 1
Message_1_Conditions 1
Message_1_Condition_0_Type Flag_Short
Message_1_Condition_0_ID 3017
Message_1_Condition_0_Value -2
Message_1_Condition_0_Logic Less_Than_Or_Equal_To

Responses 4

Response_0_Messages 1
Response_0_Message_0 1
Response_0_Conditions 2
Response_0_Condition_0_Type Flag_Short
Response_0_Condition_0_ID 3002
Response_0_Condition_0_Value 1
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Allow_Unset
Response_0_Condition_1_Type Quest
Response_0_Condition_1_Logic Equal
Response_0_Condition_1_ID 3319
Response_0_Condition_1_Status None
Response_0_Dialogue 3316

Response_1_Messages 1
Response_1_Message_0 1
Response_1_Dialogue 3318
Response_1_Quest 3319
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 3319
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset

Response_2_Messages 1
Response_2_Message_0 1

Response_3_Messages 1
Response_3_Message_0 0
