GUID 49c0920aec8647afbc32b2514d0fa6aa
Type Quest
ID 3547

Conditions 1
Condition_0_Type Kills_Zombie
Condition_0_ID 3372
Condition_0_Value 1
Condition_0_Zombie Boss_Electric
Condition_0_Spawn
Condition_0_Nav 26

Rewards 4
Reward_0_Type Experience
Reward_0_Value 200
Reward_1_Type Reputation
Reward_1_Value 20
// Military quests completed
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value 1
Reward_2_Modification Increment
//Hide the Sewers
Reward_3_Type Flag_Short
Reward_3_ID 3370
Reward_3_Value -1
Reward_3_Modification Assign
