GUID 3131241641f247cd8f877c162206afe8
Type Quest
ID 3540

Conditions 3
Condition_0_Type Flag_Bool
Condition_0_ID 3379
Condition_0_Value True
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 3380
Condition_1_Value True
Condition_1_Logic Equal
Condition_2_Type Flag_Bool
Condition_2_ID 3381
Condition_2_Value True
Condition_2_Logic Equal

Rewards 3
Reward_0_Type Reputation
Reward_0_Value 5
// Military Missions Complete
Reward_1_Type Flag_Short
Reward_1_ID 3030
Reward_1_Value 1
Reward_1_Modification Increment
Reward_2_Type Experience
Reward_2_Value 20
