GUID 50b312a138194519b79171f25073f7c3
Type Quest
ID 3011

Conditions 4
Condition_0_Type Item
Condition_0_ID 3503
Condition_0_Amount 1
//Condition_0_Reset
Condition_1_Type Item
Condition_1_ID 3504
Condition_1_Amount 1
//Condition_1_Reset
Condition_2_Type Experience
Condition_2_ID 3012
Condition_2_Value 75
Condition_2_Logic Greater_Than_Or_Equal_To
Condition_3_Type Flag_Short
Condition_3_ID 3000
Condition_3_Value 0
Condition_3_Logic Equal
Condition_3_Allow_Unset

Rewards 3
Reward_0_Type Reputation
Reward_0_Value 5
// Military Faction Assigned
Reward_1_Type Flag_Short
Reward_1_ID 3000
Reward_1_Value 1
Reward_1_Modification Assign
// Military Clearance Unassigned
Reward_2_Type Flag_Short
Reward_2_ID 3017
Reward_2_Value 1
Reward_2_Modification Assign
