GUID 66133ec1299a40779db21f3134d18541
Type Quest
ID 3553

//Traitor Quest Progress
Conditions 2
//Talked to Officer Argus
Condition_0_Type Flag_Short
Condition_0_ID 3573
Condition_0_Value 2
Condition_0_Logic Greater_Than_Or_Equal_To
//Encountered the Traitor
Condition_1_Type Flag_Short
Condition_1_ID 3573
Condition_1_Value 3
Condition_1_Logic Greater_Than_Or_Equal_To


Rewards 3
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value 2
Reward_2_Modification Increment
