GUID b02cbc1e6ace44508795d988c90fbab9
Type Quest
ID 3123

Conditions 3
Condition_0_Type Flag_Short
Condition_0_ID 3114
Condition_0_Value 3
Condition_0_Logic Greater_Than_Or_Equal_To

Condition_1_Type Flag_Short
Condition_1_ID 3115
Condition_1_Value 3
Condition_1_Logic Greater_Than_Or_Equal_To

Condition_2_Type Flag_Short
Condition_2_ID 3116
Condition_2_Value 3
Condition_2_Logic Greater_Than_Or_Equal_To

Rewards 4
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value 2
Reward_2_Modification Increment
//Antibiotics for your hard work
Reward_3_Type Item
Reward_3_ID 389
Reward_3_Amount 1
