GUID e879964bfc2a4dbba8eaccf274f81318
Type Quest
ID 3636

Conditions 3
//Spirit Zombies
Condition_0_Type Kills_Zombie
Condition_0_ID 3637
Condition_0_Value 12
Condition_0_Logic Greater_Than_Or_Equal_To
Condition_0_Zombie Spirit
Condition_0_Spawn
Condition_0_Spawn_Quantity
Condition_0_Nav 19


//Mega Zombie
Condition_1_Type Kills_Zombie
Condition_1_ID 3638
Condition_1_Value 2
Condition_1_Logic Greater_Than_Or_Equal_To
Condition_1_Zombie Mega
Condition_1_Spawn
Condition_1_Spawn_Quantity
Condition_1_Nav 19


//Ultra Mega Zombies
Condition_2_Type Kills_Zombie
Condition_2_ID 3639
Condition_2_Value 1
Condition_2_Logic Greater_Than_Or_Equal_To
Condition_2_Zombie Boss_All
Condition_2_Spawn
Condition_2_Nav 19


Rewards 6
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value 1
Reward_2_Modification Increment
Reward_3_Type Flag_Short
Reward_3_ID 3637
Reward_3_Value 0
Reward_3_Modification Assign
Reward_4_Type Flag_Short
Reward_4_ID 3638
Reward_4_Value 0
Reward_4_Modification Assign
Reward_5_Type Flag_Short
Reward_5_ID 3639
Reward_5_Value 0
Reward_5_Modification Assign
