GUID eafb5bef50384423b750d1174e1dd263
Type Quest
ID 3622

Conditions 3
//Candy Bar
Condition_0_Type Item
Condition_0_ID 83
Condition_0_Amount 3
Condition_0_Reset

//Chocolate Bar
Condition_1_Type Item
Condition_1_ID 84
Condition_1_Amount 3
Condition_1_Reset

//Chips
Condition_2_Type Item
Condition_2_ID 82
Condition_2_Amount 2
Condition_2_Reset

Rewards 4
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value 1
Reward_2_Modification Increment
//Chewing Gum
Reward_3_Type Item
Reward_3_ID 1510
Reward_3_Amount 2
