GUID aa14a13b1320420ab60515201b06580b
Type Quest
ID 3212

Conditions 3
Condition_0_Type Item
Condition_0_ID 462
Condition_0_Amount 1
Condition_0_Reset

Condition_1_Type Item
Condition_1_ID 470
Condition_1_Amount 1
Condition_1_Reset

Condition_2_Type Item
Condition_2_ID 83
Condition_2_Amount 2
Condition_2_Reset



Rewards 4
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -2
Reward_2_Modification Increment
// Quest Line Complete
Reward_3_Type Flag_Short
Reward_3_ID 3207
Reward_3_Value 3
Reward_3_Modification Assign
