GUID 33f90753a0cf4d5f90c10dd8e15b93cd
Type Quest
ID 3093

Conditions 2
Condition_0_Type Kills_Zombie
Condition_0_ID 3096
Condition_0_Value 6
Condition_0_Logic Greater_Than_Or_Equal_To
Condition_0_Nav 14
Condition_0_Zombie None
Condition_0_Allow_Unset

Condition_1_Type Kills_Zombie
Condition_1_ID 3097
Condition_1_Value 6
Condition_1_Logic Greater_Than_Or_Equal_To
Condition_1_Nav 4
Condition_1_Zombie None
Condition_1_Allow_Unset

Rewards 3
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -2
Reward_2_Modification Increment
