GUID 246c816943a5416a9afa4141722ce00a
Type Quest
ID 3358

Conditions 3
//History Book
Condition_0_Type Flag_Bool
Condition_0_ID 3359
Condition_0_Value True
Condition_0_Logic Equal
//Science Book
Condition_1_Type Flag_Bool
Condition_1_ID 3360
Condition_1_Value True
Condition_1_Logic Equal
//Math Book
Condition_2_Type Flag_Bool
Condition_2_ID 3361
Condition_2_Value True
Condition_2_Logic Equal

Rewards 3
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 75
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -1
Reward_2_Modification Increment
//Water Bottle for your hard work
Reward_3_Type Item
Reward_3_ID 14
Reward_3_Amount 1
