GUID b5fb88fccdd2423ebfd2bf96cf360932
Type Quest
ID 3602

Conditions 10

//Built Body
Condition_0_Type Flag_Short
Condition_0_ID 3593
Condition_0_Value 1
Condition_0_Logic Greater_Than_Or_Equal_To

//Built Turret
Condition_1_Type Flag_Short
Condition_1_ID 3600
Condition_1_Value 2
Condition_1_Logic Greater_Than_Or_Equal_To

//Built Engine
Condition_2_Type Flag_Bool
Condition_2_ID 3592
Condition_2_Value True
Condition_2_Logic Equal

//Built Wheel #1
Condition_3_Type Flag_Bool
Condition_3_ID 3594
Condition_3_Value True
Condition_3_Logic Equal

//Built Wheel #2
Condition_4_Type Flag_Bool
Condition_4_ID 3595
Condition_4_Value True
Condition_4_Logic Equal

//Built Wheel #3
Condition_5_Type Flag_Bool
Condition_5_ID 3596
Condition_5_Value True
Condition_5_Logic Equal

//Built Wheel #4
Condition_6_Type Flag_Bool
Condition_6_ID 3597
Condition_6_Value True
Condition_6_Logic Equal

//Built Armor
Condition_7_Type Flag_Bool
Condition_7_ID 3598
Condition_7_Value True
Condition_7_Logic Equal

//Built Spotlight
Condition_8_Type Flag_Bool
Condition_8_ID 3599
Condition_8_Value True
Condition_8_Logic Equal

//Built Plow
Condition_9_Type Flag_Bool
Condition_9_ID 3601
Condition_9_Value True
Condition_9_Logic Equal

Rewards 14
Reward_0_Type Reputation
Reward_0_Value 10
Reward_1_Type Experience
Reward_1_Value 40
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -3
Reward_2_Modification Increment
Reward_3_Type Vehicle
Reward_3_ID 3506
Reward_3_Spawnpoint OmegaVehicle
//Vanish Built Truck
Reward_4_Type Flag_Short
Reward_4_ID 3592
Reward_4_Value 5
Reward_4_Modification Assign
Reward_5_Type Flag_Short
Reward_5_ID 3593
Reward_5_Value 5
Reward_5_Modification Assign
Reward_6_Type Flag_Short
Reward_6_ID 3594
Reward_6_Value 5
Reward_6_Modification Assign
Reward_7_Type Flag_Short
Reward_7_ID 3595
Reward_7_Value 5
Reward_7_Modification Assign
Reward_8_Type Flag_Short
Reward_8_ID 3596
Reward_8_Value 5
Reward_8_Modification Assign
Reward_9_Type Flag_Short
Reward_9_ID 3597
Reward_9_Value 5
Reward_9_Modification Assign
Reward_10_Type Flag_Short
Reward_10_ID 3598
Reward_10_Value 5
Reward_10_Modification Assign
Reward_11_Type Flag_Short
Reward_11_ID 3599
Reward_11_Value 5
Reward_11_Modification Assign
Reward_12_Type Flag_Short
Reward_12_ID 3600
Reward_12_Value 5
Reward_12_Modification Assign
Reward_13_Type Flag_Short
Reward_13_ID 3601
Reward_13_Value 5
Reward_13_Modification Assign
