GUID c0b5ac1b6d7c4c51ae9d554cb3dd1e72
Type Quest
ID 3393

Conditions 7
//Construction Helmet
Condition_0_Type Item
Condition_0_ID 240
Condition_0_Amount 1
Condition_0_Reset
//Police Helmet
Condition_1_Type Item
Condition_1_ID 3537
Condition_1_Amount 2
Condition_1_Reset
//Black Day Pack
Condition_2_Type Item
Condition_2_ID 200
Condition_2_Amount 2
Condition_2_Reset
//Green Day Pack
Condition_3_Type Item
Condition_3_ID 202
Condition_3_Amount 2
Condition_3_Reset
//Black Duffelbag
Condition_4_Type Item
Condition_4_ID 1182
Condition_4_Amount 2
Condition_4_Reset
//Green Travel
Condition_5_Type Item
Condition_5_ID 247
Condition_5_Amount 2
Condition_5_Reset
//Cargo Pants
Condition_6_Type Item
Condition_6_ID 209
Condition_6_Amount 2
Condition_6_Reset




Rewards 4
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -2
Reward_2_Modification Increment
//Hockey Mask
Reward_3_Type Item
Reward_3_ID 1048
Reward_3_Amount 1
