GUID 492c0faa11484fec84f049898996496a
Type Quest
ID 3291

Conditions 3
Condition_0_Type Item
Condition_0_ID 1244
Condition_0_Amount 1
Condition_0_Reset

Condition_1_Type Item
Condition_1_ID 1373
Condition_1_Amount 1
Condition_1_Reset

Condition_2_Type Item
Condition_2_ID 1372
Condition_2_Amount 1
Condition_2_Reset


Rewards 4
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -2
Reward_2_Modification Increment
Reward_3_Type Item
Reward_3_ID 1372
Reward_3_Amount 1
