GUID 98419abdae704538bb3f1257c679c980
Type Quest
ID 3279

//Structure
Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 3263
Condition_0_Value 36
Condition_0_Logic Greater_Than_Or_Equal_To

//Cost
Condition_1_Type Flag_Short
Condition_1_ID 3264
Condition_1_Value 25
Condition_1_Logic Less_Than_Or_Equal_To

Rewards 19
Reward_0_Type Reputation
Reward_0_Value 5
Reward_1_Type Experience
Reward_1_Value 25
// Skillset Rankup Bonus
Reward_2_Type Flag_Short
Reward_2_ID 3030
Reward_2_Value -2
Reward_2_Modification Increment
Reward_3_Type Flag_Short
Reward_3_ID 3285
Reward_3_Value 3
Reward_3_Modification Assign
//Disable the windmill parts
Reward_4_Type Flag_Short
Reward_4_ID 3265
Reward_4_Value 3
Reward_4_Modification Assign
Reward_5_Type Flag_Short
Reward_5_ID 3266
Reward_5_Value 3
Reward_5_Modification Assign
Reward_6_Type Flag_Short
Reward_6_ID 3267
Reward_6_Value 3
Reward_6_Modification Assign
Reward_7_Type Flag_Short
Reward_7_ID 3268
Reward_7_Value 3
Reward_7_Modification Assign
Reward_8_Type Flag_Short
Reward_8_ID 3269
Reward_8_Value 3
Reward_8_Modification Assign
Reward_9_Type Flag_Short
Reward_9_ID 3270
Reward_9_Value 3
Reward_9_Modification Assign
Reward_10_Type Flag_Short
Reward_10_ID 3271
Reward_10_Value 3
Reward_10_Modification Assign
Reward_11_Type Flag_Short
Reward_11_ID 3272
Reward_11_Value 3
Reward_11_Modification Assign
Reward_12_Type Flag_Short
Reward_12_ID 3273
Reward_12_Value 3
Reward_12_Modification Assign
Reward_13_Type Flag_Short
Reward_13_ID 3274
Reward_13_Value 3
Reward_13_Modification Assign
Reward_14_Type Flag_Short
Reward_14_ID 3275
Reward_14_Value 3
Reward_14_Modification Assign
Reward_15_Type Flag_Short
Reward_15_ID 3276
Reward_15_Value 3
Reward_15_Modification Assign
Reward_16_Type Flag_Short
Reward_16_ID 3277
Reward_16_Value 3
Reward_16_Modification Assign
Reward_17_Type Flag_Short
Reward_17_ID 3278
Reward_17_Value 3
Reward_17_Modification Assign
Reward_18_Type Flag_Short
Reward_18_ID 3264
Reward_18_Value 450
Reward_18_Modification Assign
