GUID 2a09a88e5969414caa33bd1ca21583f3
Type Vendor
ID 3666

Buying 7
// Tires
Buying_0_ID 1451
Buying_0_Amount 1
Buying_0_Cost 50
// Batteries
Buying_1_ID 1450
Buying_1_Amount 1
Buying_1_Cost 40
// Gas Cans
Buying_2_ID 28
Buying_2_Amount 1
Buying_2_Cost 20
// Steelie Wheelies
Buying_3_ID 1353
Buying_3_Amount 1
Buying_3_Cost 30
// Carjacks
Buying_4_ID 277
Buying_4_Amount 1
Buying_4_Cost 15
// Blowtorch
Buying_5_ID 76
Buying_5_Amount 1
Buying_5_Cost 20
// SocketWrench
Buying_6_ID 1507
Buying_6_Amount 1
Buying_6_Cost 20



Selling 3
// Wheels
Selling_0_ID 1451
Selling_0_Amount 1
Selling_0_Cost 65
// Batteries
Selling_1_ID 1450
Selling_1_Amount 1
Selling_1_Cost 75
// Carjacks
Selling_2_ID 277
Selling_2_Amount 1
Selling_2_Cost 50
