GUID bfed34644ebe48f188196b2d74c7ce8e
Type Vendor
ID 3454

Buying 11
// Bloodbag
Buying_0_ID 395
Buying_0_Amount 1
Buying_0_Cost 40
// Antibiotics
Buying_1_ID 389
Buying_1_Amount 1
Buying_1_Cost 30
// Painkillers
Buying_2_ID 390
Buying_2_Amount 1
Buying_2_Cost 20
// Vitamins
Buying_3_ID 391
Buying_3_Amount 1
Buying_3_Cost 15
// Purification Tablets
Buying_4_ID 392
Buying_4_Amount 1
Buying_4_Cost 25
// Cough Syrup
Buying_5_ID 404
Buying_5_Amount 1
Buying_5_Cost 15
// Vaccine
Buying_6_ID 269
Buying_6_Amount 1
Buying_6_Cost 15
// Medkit
Buying_7_ID 15
Buying_7_Amount 1
Buying_7_Cost 50
// Adrenaline
Buying_8_ID 387
Buying_8_Amount 1
Buying_8_Cost 20
// Morphine
Buying_9_ID 388
Buying_9_Amount 1
Buying_9_Cost 20
// Suturekit
Buying_10_ID 403
Buying_10_Amount 1
Buying_10_Cost 30



Selling 5
// Antibiotics
Selling_0_ID 389
Selling_0_Amount 1
Selling_0_Cost 150
Selling_0_Conditions 1
Selling_0_Condition_0_Type Flag_Short
Selling_0_Condition_0_ID 3017
Selling_0_Condition_0_Value -5
Selling_0_Condition_0_Logic Less_Than
// Painkillers
Selling_1_ID 390
Selling_1_Amount 1
Selling_1_Cost 100
Selling_1_Conditions 1
Selling_1_Condition_0_Type Flag_Short
Selling_1_Condition_0_ID 3017
Selling_1_Condition_0_Value -3
Selling_1_Condition_0_Logic Less_Than
// Vitamins
Selling_2_ID 391
Selling_2_Amount 1
Selling_2_Cost 50
Selling_2_Conditions 1
Selling_2_Condition_0_Type Flag_Short
Selling_2_Condition_0_ID 3017
Selling_2_Condition_0_Value -2
Selling_2_Condition_0_Logic Less_Than
// Purification Tablets
Selling_4_ID 392
Selling_4_Amount 1
Selling_4_Cost 150
Selling_4_Conditions 1
Selling_4_Condition_0_Type Flag_Short
Selling_4_Condition_0_ID 3017
Selling_4_Condition_0_Value -4
Selling_4_Condition_0_Logic Less_Than
// Cough Syrup
Selling_3_ID 404
Selling_3_Amount 1
Selling_3_Cost 65
Selling_3_Conditions 1
Selling_3_Condition_0_Type Flag_Short
Selling_3_Condition_0_ID 3017
Selling_3_Condition_0_Value -2
Selling_3_Condition_0_Logic Less_Than
