GUID 00970b29b312480da533dca1a7e895ff
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 27482

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.01

Sight 27582
Magazine 27682

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 2
Ammo_Max 20

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 27482

Range 280
Firerate 15
Action Trigger

Player_Damage 70
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1


Zombie_Damage 130
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.3

Animal_Damage 75
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 45
Structure_Damage 30
Vehicle_Damage 45
Resource_Damage 30
Object_Damage 35

Durability 0.99

Spread_Aim 0.002
Spread_Hip 0.30

Ballistic_Steps 23.75
Ballistic_Travel 12

Recoil_Aim 0.25
Recoil_Min_X -4
Recoil_Min_Y 13
Recoil_Max_X -2
Recoil_Max_Y 14

Recover_X 0.5
Recover_Y 0.75

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27482
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
