GUID 650e2341042b45ffa7aa8a13abfe094c

Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 27487

Size_X 2
Size_Y 2
Size_Z 0.3
Size2_Z 0.3

Magazine 27687

Hook_Tactical
Hook_Barrel

Ammo_Min 4
Ammo_Max 15

Safety
Semi

Attachment_Calibers 2
Attachment_Caliber_0 9
Attachment_Caliber_1 27554

Magazine_Calibers 1
Magazine_Caliber_0 27487

Range 100
Firerate 1
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 24
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 12
Structure_Damage 12
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.1

Spread_Aim 0.02
Spread_Hip 0.15

Recoil_Min_X -0.4
Recoil_Min_Y 1.5
Recoil_Max_X -0.6
Recoil_Max_Y 2.5	

Recover_X 0.4
Recover_Y 0.6

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.075

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27487
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

