GUID 53aa0f119cbc446b9ffffc2d1cf8274f
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 27490

Size_X 3
Size_Y 2
Size_Z 0.35
Size2_Z 0.5

Magazine 27651
Barrel 27751

Hook_Tactical
Hook_Barrel

Ammo_Min 20
Ammo_Max 30

Semi
Auto
Bursts 3
Safety


Attachment_Calibers 2
Attachment_Caliber_0 1
Attachment_Caliber_1 27451

Magazine_Calibers 1
Magazine_Caliber_0 27451

Range 90
Firerate 2
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 85
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 20
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 10
Resource_Damage 5
Object_Damage 18

Durability 0.1

Spread_Aim 0.5
Spread_Hip 0.2

Recoil_Min_X -2
Recoil_Min_Y 4
Recoil_Max_X -1
Recoil_Max_Y 5

Recover_X 0.5
Recover_Y 0.8

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27490
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 27451
Blueprint_2_State_Transfer
Blueprint_2_Build 27
