GUID a6706f43605744c0a4adbf34ae46483a
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 27481

Size_X 4
Size_Y 2
Size_Z 0.375
Size2_Z 0.6

Sight 5
Magazine 123

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 35

Safety
Semi
Auto

Attachment_Calibers 2
Attachment_Caliber_0 1
Attachment_Caliber_1 9

Magazine_Calibers 1
Magazine_Caliber_0 9

Range 215
Firerate 6
Action Trigger

Player_Damage 47
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 47
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 20
Object_Damage 25

Durability 0.17

Spread_Aim 0.022
Spread_Hip 0.1

Recoil_Min_X -1.5	
Recoil_Min_Y 2
Recoil_Max_X -1
Recoil_Max_Y 4

Recover_X 0.7
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27481
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 3
Blueprint_1_Build 27
