GUID 38c4908a5f744997aa43c3b00589212d
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 27444

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 27544
Magazine 27644

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 10
Ammo_Max 20

Safety
Auto

Caliber 27444

Range 20
Firerate 10
Action Trigger

Player_Damage 30
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.1

Zombie_Damage 35
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 30
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 10
Resource_Damage 8
Object_Damage 15

Durability 0.2

Spread_Aim 0.2
Spread_Hip 0.3

Ballistic_Steps 1

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X 1
Recoil_Max_Y 3

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27444
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
