GUID e334ad4b7c0e42288235cac211481cbc

Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 27483

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.01

Sight 27583
Magazine 27683

Hook_Sight
Hook_Tactical
Hook_Grip


Ammo_Min 2
Ammo_Max 10

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 1

Magazine_Calibers 1
Magazine_Caliber_0 27483

Range 300
Firerate 18
Action Trigger

Player_Damage 85
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1
Instakill_Headshots True

Zombie_Damage 135
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.3

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 55
Structure_Damage 40
Vehicle_Damage 65
Resource_Damage 40
Object_Damage 45

Invulnerable

Durability 1
Wear 2

Spread_Aim 0.001
Spread_Hip 0.33

Ballistic_Steps 24
Ballistic_Travel 12.5

Recoil_Aim 0.25
Recoil_Min_X -5
Recoil_Min_Y 40
Recoil_Max_X -2
Recoil_Max_Y 45

Recover_X 0.5
Recover_Y 0.75

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27483
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27
