GUID bbb14422b5b140d5b34793635d3439d0
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 27454

Size_X 2
Size_Y 2
Size_Z 0.35
Size2_Z 0.45

Magazine 27654

Magazine_Calibers 2
Magazine_Caliber_0 27454
Magazine_Caliber_1 27471

Hook_Barrel
Hook_Tactical

Ammo_Min 2
Ammo_Max 5

Safety
Semi

Range 60
Firerate 5
Action Break

Player_Damage 75
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.2

Animal_Damage 74
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 10

Durability 1

Spread_Aim 0.1
Spread_Hip 0.125

Recoil_Min_X -4
Recoil_Min_Y 15
Recoil_Max_X -8
Recoil_Max_Y 20

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27454
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Should_Delete_Empty_Magazines false
