GUID e37489e064f54e468cea2a0a2c2b0fe1
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 27446

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.9

Magazine 27654
Sight 27549

Magazine_Calibers 2
Magazine_Caliber_0 27454
Magazine_Caliber_1 27471

Attachment_Calibers 2
Attachment_Caliber_0 9
Attachment_Caliber_1 1

Hook_Barrel
Hook_Tactical
Hook_Sight

Ammo_Min 2
Ammo_Max 5

Safety
Semi

Range 100
Firerate 8
Action Break

Player_Damage 80
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.1

Zombie_Damage 110
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.2

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 10

Durability 1

Spread_Aim 0.08
Spread_Hip 0.1

Recoil_Aim 0.75
Recoil_Min_X -2
Recoil_Min_Y 10
Recoil_Max_X -4
Recoil_Max_Y 15

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27449
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 2
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27

Should_Delete_Empty_Magazines false
