GUID c2812de56b7545e4a7daaad9da867a09
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 27465

Size_X 3
Size_Y 2
Size_Z 0.375
Size2_Z 0.45

Sight 27565
Magazine 1029

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 30

Safety
Semi
Auto

Attachment_Calibers 3
Attachment_Caliber_0 1
Attachment_Caliber_1 9
Attachment_Caliber_2 27554
Caliber 25

Range 150
Firerate 4
Action Trigger

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 30
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 30
Resource_Damage 15
Object_Damage 10

Durability 0.3

Spread_Aim 0.10
Spread_Hip 0.15

Recoil_Min_X -2
Recoil_Min_Y 1
Recoil_Max_X 1
Recoil_Max_Y 3

Recover_X 0.800
Recover_Y 0.500

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27465
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
