GUID 1e7a5444dc504fa3940b34dd4ebe6247
Type Melee
Rarity Legendary
Useable Melee
Slot Secondary
ID 27801

Size_X 1
Size_Y 2
Size_Z 0.55
Size2_Z 0.4

Range 1.5
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 10

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 3.0
Player_Skull_Multiplier 1.1

Zombie_Damage 40
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 15

Durability 0.175

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27801
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
