GUID fd06e067f600423287311e5b655c0768
Type Melee
Rarity Epic
Useable Melee
Slot Primary
ID 27804

Size_X 5
Size_Y 1
Size_Z 0.2


Range 2.75
Strength 1.5
Weak 0.44
Strong 0.5
Stamina 15

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 45
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 39
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27804
Blueprint_1_Product 39
Blueprint_1_Products 2
Blueprint_1_Build 27
